Rank,Artist,Title,Year,SpotifyPlayCounts
1,Percy Faith,"Theme From ""A Summer Place""",1960,5001152
2,Jim Reeves,He'll Have To Go,1960,4377343
3,Everly Brothers,Cathy's Clown,1960,4180758
4,Johnny Preston,Running Bear,1960,1444980
5,Mark Dinning,Teen Angel,1960,436274
6,Brenda Lee,I'm Sorry,1960,3366175
7,Elvis Presley,It's Now Or Never,1960,11766868
8,Jimmy Jones,Handy Man,1960,564091
9,Elvis Presley,Stuck On You,1960,6695034
10,Chubby Checker,The Twist,1960,15600003
11,Connie Francis,Everybody's Somebody's Fool,1960,2306079
12,Bobby Rydell,Wild One,1960,211513
13,Brothers Four,Greenfields,1960,880380
14,Jack Scott,What In The World's Come Over You,1960,192575
15,Marty Robbins,El Paso,1960,8663683
16,Hollywood Argyles,Alley Oop,1960,218008
17,Connie Francis,My Heart Has A Mind Of Its Own,1960,365549
18,Brenda Lee,Sweet Nothin's,1960,4478743
19,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960,3452011
20,Roy Orbison,Only The Lonely,1960,15956833
21,Dion and The Belmonts,Where Or When,1960,799005
22,Connie Stevens,Sixteen Reasons,1960,272674
23,Paul Anka,Puppy Love,1960,1666967
24,Frankie Avalon,Why,1960,378916
25,Ventures,"Walk, Don't Run",1960,4127116
26,Drifters,Save The Last Dance For Me,1960,11458687
27,Brook Benton and Dinah Washington,Baby (You've Got What It Takes),1960,5561544
28,Johnny Horton,Sink The Bismark,1960,1971530
29,Sam Cooke,Chain Gang,1960,21685399
30,Everly Brothers,Let It Be Me,1960,697716
31,Jimmy Jones,Good Timin',1960,616177
32,Bobby Darin,Beyond The Sea,1960,25328489
33,Jimmy Clanton,Go Jimmy Go,1960,37469
34,Jackie Wilson,Night,1960,81660
35,Jack Scott,Burning Bridges,1960,123257
36,Toni Fisher,The Big Hurt,1960,23972
37,Duane Eddy,Because They're Young,1960,293238
38,Conway Twitty,Lonely Blue Boy,1960,756676
39,Steve Lawrence,Pretty Blue Eyes,1960,201888
40,Freddie Cannon,Way Down Yonder In New Orleans,1960,190729
41,Anita Bryant,Paper Roses,1960,
42,Larry Verne,Mr. Custer,1960,154240
43,Brenda Lee,I Want To Be Wanted,1960,390100
44,Fendermen,Mule Skinner Blues,1960,257280
45,Johnny Preston,Cradle Of Love,1960,232921
46,Marv Johnson,You've Got What It Takes,1960,53493
47,Hank Locklin,"Please Help Me, I'm Falling",1960,1127831
48,Ron Holden,Love You So,1960,27102
49,Hank Ballard and The Midnighters,Finger Poppin' Time,1960,354730
50,Platters,Harbor Lights,1960,787854
51,Billy Bland,Let The Little Girl Dance,1960,11473647
52,Jeanne Black,He'll Have To Stay,1960,45318
53,Ferrante and Teicher,Theme From The Apartment,1960,131144
54,Bobby Rydell,Volare,1960,221099
55,Jimmy Charles,A Million To One,1960,57306
56,Andy Williams,The Village Of St. Bernadette,1960,83052
57,The Browns,The Old Lamplighter,1960,62470
58,Bill Black's Combo,White Silver Sands,1960,30065
59,Bobby Vee,Devil Or Angel,1960,717957
60,The Four Preps,Down By The Station,1960,23715
61,The Little Dippers,Forever,1960,40043
62,The Safaris,Image Of A Girl,1960,83982
63,Brook Benton,Kiddio,1960,213883
64,Donnie Brooks,Mission Bell,1960,80369
65,Marv Johnson,I Love The Way You Love,1960,27503
66,Paul Anka,It's Time To Cry,1960,109090
67,Ray Peterson,Tell Laura I Love Her,1960,1317706
68,Connie Francis,Mama,1960,279627
69,Steve Lawrence,Footsteps,1960,152385
70,The Everly Brothers,So Sad,1960,804269
71,Brenda Lee,That's All You Gotta Do,1960,395052
72,Fats Domino,Walking To New Orleans,1960,1725415
73,Connie Francis,Among My Souvenirs,1960,1725415
74,Bobby Rydell,Swingin' School,1960,73006
75,Dinah Washington and Brook Benton,A Rockin' Good Way,1960,881349
76,Neil Sedaka,Stairway To Heaven,1960,780214
77,Paul Anka,My Home Town,1960,289664
78,Ray Charles,Georgia On My Mind,1960,203180
79,Skip and Flip,Cherry Pie,1960,21703
80,Sam Cooke,Wonderful World,1960,93708300
81,Spencer Ross,Tracy's Theme,1960,
82,Lloyd Price,Lady Luck,1960,447560
83,The Crests,Step By Step,1960,160505
84,Paul Evans,Happy-Go-Lucky Me,1960,315970
85,Ricky Nelson,Young Emotions,1960,197454
86,Johnny Burnette,Dreamin',1960,9887
87,Johnny Tillotson,Poetry In Motion,1960,2176650
88,Annette Funicello,O Dio Mio,1960,5450
89,Joe Jones,You Talk Too Much,1960,150648
90,Johnny and The Hurricanes,Beatnik Fly,1960,6058
91,The Everly Brothers,When Will I Be Loved,1960,508098
92,Bob Luman,Let's Think About Livin',1960,330483
93,Guy Mitchell,Heartaches By The Number,1960,243434
94,Anita Bryant,In My Little Corner Of The World,1960,15789
95,Jackie Wilson,Doggin' Around,1960,449692
96,Bobby Rydell,Little Bitty Girl,1960,98402
97,Barrett Strong,Money,1960,7941207
98,Maurice Williams and the Zodiacs,Stay,1960,17445583
99,Charlie Rich,Lonely Weekends,1960,306801
100,Larry Hall,Sandy,1960,13843
1,Bobby Lewis,Tossin' And Turnin',1961,185664
2,Patsy Cline,I Fall To Pieces,1961,8098285
3,The Highwaymen,Michael,1961,345821
4,Roy Orbison,Crying,1961,10605581
5,Del Shannon,Runaway,1961,14372962
6,The Jive Five,My True Story,1961,549734
7,Chubby Checker,Pony Time,1961,395079
8,The String-A-Longs,Wheels,1961,254594
9,Dee Clark,Raindrops,1961,36195
10,Joe Dowell,Wooden Heart,1961,76204
11,Lawrence Welk,Calcutta,1961,220024
12,Bobby Vee,Take Good Care Of My Baby,1961,8915018
13,Roy Orbison,Running Scared,1961,2391967
14,The Shirelles,Dedicated To The One I Love,1961,1401322
15,The Mar-Keys,Last Night,1961,1118216
16,The Shirelles,Will You Love Me Tomorrow,1961,10966476
17,Ferrante and Teicher,Exodus,1961,338866
18,Connie Francis,Where The Boys Are,1961,1961350
19,Ray Charles,Hit The Road Jack,1961,34945564
20,Sue Thompson,Sad Movies (Make Me Cry),1961,414305
21,Ernie K-Doe,Mother-In-Law,1961,442939
22,The Dovells,Bristol Stomp,1961,310096
23,Ricky Nelson,Travelin' Man,1961,3426713
24,The Miracles,Shop Around,1961,8287327
25,Brook Benton,The Boll Weevil Song,1961,48225
26,Gene Mcdaniels,A Hundred Pounds Of Clay,1961,213849
27,Dick and Deedee,The Mountain's High,1961,17863
28,Marty Robbins,Don't Worry,1961,321791
29,Floyd Cramer,On The Rebound,1961,660129
30,Steve Lawrence,Portrait Of My Love,1961,61982
31,Gary U.S. Bonds,Quarter To Three,1961,202618
32,Barry Mann,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",1961,664163
33,Neil Sedaka,Calendar Girl,1961,6665463
34,Chris Kenner,I Like It Like That,1961,739901
35,Jorgen Ingmann,Apache,1961,148229
36,Linda Scott,Don't Bet Money Honey,1961,1728
37,Johnny Tillotson,Without You,1961,146415
38,Ferlin Husky,Wings Of A Dove,1961,259282
39,Elvis Presley,Little Sister,1961,3356388
40,Marcels,Blue Moon,1961,6629781
41,Shep and The Limelites,Daddy's Home,1961,45157
42,Troy Shondell,This Time,1961,28820
43,"Clarence ""Frogman"" Henry",(I Don't Know Why) But I Do,1961,1646381
44,Kokomo,Asia Minor,1961,38898
45,Faron Young,Hello Walls,1961,1490230
46,Dion,Runaround Sue,1961,27540370
47,Arthur Lyman,Yellow Bird,1961,261189
48,Timi Yuro,Hurt,1961,1033560
49,Ricky Nelson,Hello Mary Lou,1961,5626492
50,The Capris,There's A Moon Out Tonight,1961,977093
51,Elvis Presley,Surrender,1961,4599587
52,The Paris Sisters,I Love How You Love Me,1961,368245
53,Lee Dorsey,Ya Ya,1961,1445791
54,Gary U.S. Bonds,School Is Out,1961,29725
55,Bob Moore,Mexico,1961,44613
56,Ral Donner,You Don't Know What You've Got (Until You Lose It),1961,45016
57,The Everly Brothers,Walk Right Back,1961,2192314
58,The Lettermen,The Way You Look Tonight,1961,265415
59,Pat Boone,Moody River,1961,376361
60,Ray Charles,One Mint Julep,1961,333918
61,Adam Wade,Take Good Care Of Her,1961,16354
62,Carla Thomas,Gee Whiz (Look At His Eyes),1961,833523
63,Ben E. King,Stand By Me,1961,59842653
64,Ben E. King,Spanish Harlem,1961,4059124
65,Ike and Tina Turner,It's Gonna Work Out Fine,1961,246104
66,The Echoes,Baby Blue,1961,29769
67,Buzz Clifford,Baby Sittin' Boogie,1961,91330
68,Del Shannon,Hats Off To Larry,1961,147026
69,Little Caesar and The Romans,Those Oldies But Goodies,1961,286453
70,Chubby Checker,The Fly,1961,80384
71,Elvis Presley,(Marie's The Name) His Latest Flame,1961,6579517
72,Bert Kaempfert,Wonderland By Night,1961,350403
73,Tony Orlando,Bless You,1961,73268
74,Linda Scott,I've Told Every Little Star,1961,38588
75,Bobby Lewis,One Track Mind,1961,10065
76,Rosie and The Originals,Angel Baby,1961,3204938
77,Curtis Lee,Pretty Little Angel Eyes,1961,847297
78,Brook Benton,Think Twice,1961,62191
79,Lonnie Donegan,Does Your Chewing Gum Lose Its Flavour (On The Bedpost Overnight),1961,203528
80,Connie Francis,Breakin' In A Brand New Broken Heart,1961,184122
81,The Shirelles,Mama Said,1961,18984141
82,Fats Domino,Let The Four Winds Blow,1961,346731
83,Adam Wade,The Writing On The Wall,1961,4696
84,Matt Monro,My Kind Of Girl,1961,307716
85,Paul Anka,"Tonight My Love, Tonight",1961,339702
86,Jimmy Dean,Big Bad John,1961,2739818
87,Bobby Rydell,Good Time Baby,1961,58354
88,Floyd Cramer,San Antonio Rose,1961,312830
89,Bobby Vee,Rubber Ball,1961,1688587
90,Ray Peterson,Missing You,1961,36663
91,Brenda Lee,Dum Dum,1961,320128
92,Eddie Hodges,I'm Gonna Knock On Your Door,1961,568081
93,Brenda Lee,You Can Depend On Me,1961,165193
94,Chubby Checker,Let's Twist Again,1961,13359395
95,Dave Brubeck,Take Five,1961,49478497
96,Elvis Presley,Are You Lonesome Tonight?,1961,11573507
97,Don Gibson,Sea Of Heartbreak,1961,1088344
98,The Four Preps,More Money For You And Me,1961,7549
99,Bobby Darin,You Must Have Been A Beautiful Baby,1961,318504
100,The Drifters,Please Stay,1961,374740
1,Acker Bilk,Stranger On The Shore,1962,921367
2,Ray Charles,I Can't Stop Loving You,1962,
3,Dee Dee Sharp,Mashed Potato Time,1962,771095
4,Bobby Vinton,Roses Are Red (My Love),1962,2365412
5,David Rose,The Stripper,1962,313233
6,Shelley Fabares,Johnny Angel,1962,472535
7,Little Eva,The Loco-Motion,1962,9076546
8,The Sensations,Let Me In,1962,47535
9,Chubby Checker,The Twist,1962,15615387
10,The Shirelles,Soldier Boy,1962,623778
11,Bruce Channel,Hey! Baby,1962,9727465
12,Dion,The Wanderer,1962,30747630
13,Gene Chandler,Duke Of Earl,1962,1890074
14,Freddy Cannon,Palisades Park,1962,548294
15,Neil Sedaka,Breaking Up Is Hard To Do,1962,6350083
16,Claude King,Wolverton Mountain,1962,453022
17,Chubby Checker,Slow Twistin',1962,284087
18,Johnny Tillotson,It Keeps Right On a-Hurtin',1962,245127
19,Mary Wells,The One Who Really Loves You,1962,1749941
20,Elvis Presley,Good Luck Charm,1962,5263250
21,Kenny Ball,Midnight In Moscow,1962,452268
22,Tommy Roe,Sheila,1962,713267
23,Sam Cooke,Twistin' The Night Away,1962,12685198
24,The Orlons,The Wah-Watusi,1962,401222
25,Joey Dee and The Starliters,Peppermint Twist,1962,443963
26,Brenda Lee,Break It To Me Gently,1962,1564747
27,The Marvelettes,Playboy,1962,8011077
28,Nat King Cole,Ramblin' Rose,1962,532894
29,Brian Hyland,Sealed With A Kiss,1962,3465190
30,Jay and The Americans,She Cried,1962,264791
31,Connie Francis,Don't Break The Heart That Loves You,1962,259505
32,Gary U.S. Bonds,Dear Lady Twist,1962,24726
33,Sue Thompson,Norman,1962,206139
34,Ketty Lester,Love Letters,1962,156761
35,Claudine Clark,Party Lights,1962,252381
36,The Highwaymen,Cotton Fields,1962,59450
37,Bent Fabric,Alley Cat,1962,145527
38,The Isley Brothers,Twist And Shout,1962,16962564
39,Richard Chamberlain,Theme From Dr. Kildare,1962,26892
40,Ace Cannon,Tuff,1962,33272
41,Clyde McPhatter,Lover Please,1962,169633
42,Barbara George,I Know (You Don't Love Me No More),1962,84117
43,Ricky Nelson,Young World,1962,347455
44,The Shirelles,Baby It's You,1962,1378449
45,Pat Boone,Speedy Gonzales,1962,1355459
46,Burl Ives,A Little Bitty Tear,1962,300810
47,The Everly Brothers,Crying In The Rain,1962,3014478
48,Emilio Pericoli,Al Di La,1962,58051
49,Ernie Maresca,Shout! Shout! (Knock Yourself Out),1962,122280
50,Don and Juan,What's Your Name,1962,323853
51,The Corsairs,Smoky Places,1962,38068
52,Sam Cooke,Having A Party,1962,3377142
53,Booker T. and The M.G.'s,Green Onions,1962,41562698
54,Ray Charles,You Don't Know Me,1962,5666493
55,Frankie Valli and The Four Seasons,Sherry,1962,19154727
56,Joanie Sommers,Johnny Get Angry,1962,186619
57,Elvis Presley,Can't Help Falling In Love,1962,105024049
58,Joey Dee and The Starliters,Shout,1962,205105
59,"Dave ""Baby"" Cortez",Rinky Dink,1962,309260
60,Henry Mancini,Moon River,1962,2813365
61,Ray Stevens,Ahab The Arab,1962,194946
62,Bobby Darin,Things,1962,800658
63,Gene Pitney,(The Man Who Shot) Liberty Valance,1962,782084
64,Duprees,You Belong To Me,1962,
65,Roy Orbison,Dream Baby (How Long Must I Dream),1962,1882078
66,Joe Henderson,Snap Your Fingers,1962,49211
67,Dion,Lovers Who Wander,1962,1642078
68,Chris Montez,Let's Dance,1962,2039928
69,Johnny Crawford,Cindy's Birthday,1962,97730
70,Mary Wells,You Beat Me To The Punch,1962,10101881
71,Barbara Lynn,You'll Lose A Good Thing,1962,1657027
72,The Crystals,Uptown,1962,374691
73,Brenda Lee,Everybody Loves Me But You,1962,205080
74,Dickey Lee,Patches,1962,22266
75,Jimmy Clanton,Venus In Blue Jeans,1962,143310
76,Paul Anka,Love Me Warm And Tender,1962,831928
77,Rick Nelson,Teen Age Idol,1962,
78,Patsy Cline,She's Got You,1962,4593182
79,Larry Finnegan,Dear One,1962,305231
80,James Darren,Her Royal Majesty,1962,23916
81,Walter Brennan,Old Rivers,1962,64810
82,Burl Ives,Funny Way Of Laughin',1962,63127
83,Billy Vaughn,A Swingin' Safari,1962,390073
84,Dick and Dee Dee,Tell Me,1962,12985
85,Jimmy Dean,P.T. 109,1962,90285
86,Dion,Little Diane,1962,191936
87,Billy Joe and The Checkmates,Percolator (Twist),1962,21213
88,Gary U.S. Bonds,"Twist, Twist Senora",1962,51794
89,Jimmy Soul,Twistin' Matilda,1962,27425
90,Dee Dee Sharp,Gravy (For My Mashed Potatoes),1962,251344
91,Jimmy Smith,Walk On The Wild Side,1962,414693
92,King Curtis,Soul Twist,1962,36437
93,Bobby Rydell,I'll Never Dance Again,1962,76708
94,The Ikettes,I'm Blue (The Gong-Gong Song),1962,430899
95,The Kingston Trio,Where Have All The Flowers Gone?,1962,639742
96,Eddie Hodges,"(Girls, Girls, Girls) Made To Love",1962,30625
97,Gene Pitney,Town Without Pity,1962,1116175
98,"Peter, Paul and Mary",If I Had A Hammer,1962,650774
99,Ronnie and The Hi-lites,I Wish That We Were Married,1962,11986
100,The Beach Boys,Surfin' Safari,1962,6351035
1,Jimmy Gilmer and The Fireballs,Sugar Shack,1963,226227
2,The Beach Boys,Surfin' U.S.A.,1963,40283487
3,Skeeter Davis,The End Of The World,1963,9808917
4,The Cascades,Rhythm Of The Rain,1963,3825570
5,The Chiffons,He's So Fine,1963,4300451
6,Bobby Vinton,Blue Velvet,1963,8522784
7,Paul and Paula,Hey Paula,1963,2224593
8,Stevie Wonder,Fingertips,1963,3255889
9,The Village Stompers,Washington Square,1963,248436
10,The Impressions,It's All Right,1963,2590697
11,Andy Williams,Can't Get Used To Losing You,1963,2633306
12,The Angels,My Boyfriend's Back,1963,1872402
13,Kyu Sakamoto,Sukiyaki,1963,3243351
14,Lesley Gore,She's A Fool,1963,212697
15,The Tymes,So Much In Love,1963,217721
16,"Peter, Paul and Mary","Puff, The Magic Dragon",1963,7184102
17,"Peter, Paul and Mary",Blowin' In The Wind,1963,2388954
18,Dale and Grace,I'm Leaving It Up To You,1963,129104
19,Nino Tempo and April Stevens,Deep Purple,1963,297983
20,The Surfaris,Wipe Out,1963,1632562
21,Al Martino,I Love You Because,1963,107611
22,The Rockin' Rebels,Wild Weekend,1963,34191
23,Bobby Darin,You're The Reason I'm Living,1963,30498
24,Frankie Valli and The Four Seasons,Walk Like A Man,1963,9797062
25,Inez and Charlie Foxx,Mockingbird,1963,222797
26,Little Peggy March,I Will Follow Him,1963,2217411
27,The Chantays,Pipeline,1963,1118918
28,Jan and Dean,Surf City,1963,2529316
29,Lesley Gore,It's My Party,1963,6895751
30,Eydie Gorme,Blame It On The Bossa Nova,1963,91784
31,The Dovells,You Can't Sit Down,1963,70658
32,Martha and The Vandellas,Heat Wave,1963,19972499
33,Randy and The Rainbows,Denise,1963,639192
34,Rooftop Singers,Walk Right In,1963,1049664
35,Jimmy Soul,If You Wanna Be Happy,1963,
36,Beach Boys,Surfer Girl,1963,
37,Trini Lopez,If I Had A Hammer,1963,
38,Tommy Roe,Everybody,1963,
39,Essex,Easier Said Than Done,1963,
40,Dion,Ruby Baby,1963,
41,Los Indios Tabajaras,Maria Elena,1963,
42,Ruby and The Romantics,Our Day Will Come,1963,
43,Skeeter Davis,I Can't Stay Mad At You,1963,
44,Barbara Lewis,"Hello, Stranger",1963,
45,Ronettes,Be My Baby,1963,
46,Roy Orbison,Mean Woman Blues,1963,
47,Orlons,South Street,1963,
48,Henry Mancini,Days Of Wine And Roses,1963,
49,Major Lance,The Monkey Time,1963,
50,Four Seasons,Candy Girl,1963,
51,Bill Anderson,Still,1963,
52,Bobby Vinton,Blue On Blue,1963,
53,Garnet Mimms and The Enchanters,Cry Baby,1963,
54,Lou Christie,Two Faces Have I,1963,
55,Ray Charles,Busted,1963,
56,Crystals,Da Doo Ron Ron,1963,
57,Shirelles,Foolish Little Girl,1963,
58,Lonnie Mack,Memphis,1963,
59,Roy Orbison,In Dreams,1963,
60,Kai Winding,More,1963,
61,Rick Nelson,Fools Rush In,1963,
62,Brenda Lee,Losing You,1963,
63,Bill Pursell,Our Winter Love,1963,
64,Tony Bennett,I Wanna Be Around,1963,
65,Miracles,You've Really Got A Hold On Me,1963,
66,Jaynetts,Sally Go 'Round The Roses,1963,
67,Sam Cooke,Little Red Rooster,1963,
68,Crystals,Then He Kissed Me,1963,
69,Elvis Presley,(You're The) Devil In Disguise,1963,
70,Nat King Cole,Those Lazy Hazy Crazy Days Of Summer,1963,
71,Jackie Wilson,Baby Workout,1963,
72,Marvin Gaye,Pride And Joy,1963,
73,Rufus Thomas,Walking The Dog,1963,
74,Ned Miller,From A Jack To A King,1963,
75,Drifters,Up On The Roof,1963,
76,Johnny Mathis,What Will My Mary Say,1963,
77,Jan Bradley,Mama Didn't Lie,1963,
78,Bobby Vee,The Night Has A Thousand Eyes,1963,
79,Cookies,Don't Say Nothin' Bad About My Baby,1963,
80,Johnny Cash,Ring Of Fire,1963,
81,Doris Troy,Just One Look,1963,
82,Allan Sherman,"Hello Muddah, Hello Fadduh! (A Letter From Camp)",1963,
83,Lesley Gore,Judy's Turn To Cry,1963,
84,Rolf Harris,"Tie Me Kangaroo Down, Sport",1963,
85,Miracles,Mickey's Monkey,1963,
86,Dion,"Donna, The Prima Donna",1963,
87,Nat King Cole,"That Sunday, That Summer",1963,
88,Sam Cooke,Another Saturday Night,1963,
89,Al Martino,"Painted, Tainted Rose",1963,
90,Dixiebelles With Cornbread and Jerry,(Down At) Papa Joe's,1963,
91,Steve Lawrence,Go Away Little Girl,1963,
92,Ray Charles,Take These Chains From My Heart,1963,
93,Sunny and The Sunglows,Talk To Me,1963,
94,Martha and The Vandellas,Come And Get These Memories,1963,
95,Elvis Presley,Bossa Nova Baby,1963,
96,Dee Dee Sharp,Do The Bird,1963,
97,Beach Boys,Shut Down,1963,
98,Chiffons,One Fine Day,1963,
99,Bobby Bare,500 Miles Away From Home,1963,
100,Del Shannon,Little Town Flirt,1963,
1,Beatles,I Want To Hold Your Hand,1964,
2,Beatles,She Loves You,1964,
3,Louis Armstrong,"Hello, Dolly!",1964,
4,Roy Orbison,"Oh, Pretty Woman",1964,
5,Beach Boys,I Get Around,1964,
6,Dean Martin,Everybody Loves Somebody,1964,
7,Mary Wells,My Guy,1964,
8,Gale Garnett,We'll Sing In The Sunshine,1964,
9,J. Frank Wilson and The Cavaliers,Last Kiss,1964,
10,Supremes,Where Did Our Love Go,1964,
11,Barbara Streisand,People,1964,
12,Al Hirt,Java,1964,
13,Beatles,A Hard Day's Night,1964,
14,Beatles,Love Me Do,1964,
15,Manfred Mann,Do Wah Diddy Diddy,1964,
16,Beatles,Please Please Me,1964,
17,Martha and The Vandellas,Dancing In The Street,1964,
18,Billy J. Kramer and The Dakotas,Little Children,1964,
19,Ray Charles Singers,Love Me With All Your Heart,1964,
20,Drifters,Under The Boardwalk,1964,
21,Dixie Cups,Chapel Of Love,1964,
22,Terry Stafford,Suspicion,1964,
23,Dave Clark Five,Glad All Over,1964,
24,Four Seasons,Rag Doll,1964,
25,Four Seasons,Dawn (Go Away),1964,
26,Newbeats,Bread And Butter,1964,
27,Gene Pitney,It Hurts To Be In Love,1964,
28,Jan and Dean,Dead Man's Curve,1964,
29,Jay and The Americans,Come A Little Bit Closer,1964,
30,Peter and Gordon,A World Without Love,1964,
31,Honeycombs,Have I The Right?,1964,
32,Serendipity Singers,Don't Let The Rain Come Down (Crooked Little Man),1964,
33,Supremes,Baby Love,1964,
34,Betty Everett and Jerry Butler,Let It Be Me,1964,
35,Dusty Springfield,Wishin' And Hopin',1964,
36,Lesley Gore,You Don't Own Me,1964,
37,Dionne Warwick,Walk On By,1964,
38,Animals,The House Of The Rising Sun,1964,
39,Ronny and The Daytona,G.T.O.,1964,
40,Beatles,Twist And Shout,1964,
41,Johnny Rivers,Memphis,1964,
42,Danny Williams,White On White,1964,
43,Rip Chords,Hey Little Cobra,1964,
44,Betty Everett,The Shoop Shoop Song (It's In His Kiss),1964,
45,Dave Clark Five,Bits And Pieces,1964,
46,Millie Small,My Boy Lollipop,1964,
47,Major Lance,"Um, Um, Um, Um, Um, Um",1964,
48,Jan and Dean,The Little Old Lady,1964,
49,Gerry and The Pacemakers,Don't Let The Sun Catch You Crying,1964,
50,Chad and Jeremy,A Summer Song,1964,
51,Stan Getz and Astrud Gilberto,The Girl From Ipanema,1964,
52,Beatles,Can't Buy Me Love,1964,
53,Shangri-Las,Remember (Walkin' In The Sand),1964,
54,Bobby Freeman,C'mon And Swim,1964,
55,Beatles,Do You Want To Know A Secret,1964,
56,Impressions,Keep On Pushing,1964,
57,Four Tops,Baby I Need Your Loving,1964,
58,Diane Renay,Navy Blue,1964,
59,Bachelors,Diane,1964,
60,Marketts,Out Of Limits,1964,
61,Hondells,Little Honda,1964,
62,Bobby Goldsboro,See The Funny Little Clown,1964,
63,Dave Clark Five,Because,1964,
64,Reflections,(Just Like) Romeo And Juliet,1964,
65,Rick Nelson,For You,1964,
66,New Christy Minstrels,Today,1964,
67,Dave Clark Five,Can't You See That She's Mine,1964,
68,Shangri-Las,Leader Of The Pack,1964,
69,Joe Hinton,Funny,1964,
70,Temptations,The Way You Do The Things You Do,1964,
71,Dionne Warwick,Anyone Who Had A Heart,1964,
72,Al Martino,I Love You More And More Every Day,1964,
73,Roy Orbison,It's Over,1964,
74,Four Seasons,Ronnie,1964,
75,Trashmen,Surfin' Bird,1964,
76,Tams,What Kind Of Fool (Do You Think I Am),1964,
77,Dean Martin,The Door Is Still Open To My Heart,1964,
78,Kinks,You Really Got Me,1964,
79,Sammy Davis Jr.,The Shelter Of Your Arms,1964,
80,Impressions,I'm So Proud,1964,
81,Jelly Beans,I Wanna Love Him So Bad,1964,
82,Roger Miller,Chug-a-lug,1964,
83,Roger Miller,Dang Me,1964,
84,Al Hirt,Cotton Candy,1964,
85,Nancy Wilson,(You Don't Know) How Glad I Am,1964,
86,Kingsmen,Money,1964,
87,Searchers,Don't Throw Your Love Away,1964,
88,Tommy Tucker,Hi-heel Sneakers,1964,
89,Gerry and The Pacemakers,How Do You Do It!,1964,
90,Ventures,Walk Don't Run '64,1964,
