Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,GenreRaw,GenreClean,TarPre,GenreClean2
51,7.4645509,Stan Getz and Astrud Gilberto,The Girl from Ipanema,1964,31119332,1553,1311,30,"bossa nova, jazz","bossa nova, jazz",5.021615391,"bossa nova, jazz"
27,11.35794904,Dinah Washington and Brook Benton,Baby (You've Got What It Takes),1960,5561544,1481,109712,30,r&b,r&b,3.834595601,r&b
95,4.951108236,Dave Brubeck,Take Five,1961,49478497,3623,46769,61,west coast cool jazz,west coast cool jazz,3.607561255,west coast cool jazz
99,4.818155049,The Kingsmen,Louie Louie,1964,28476446,2634,10771,51,garage rock,garage rock,3.447217976,garage rock
98,4.850547815,Maurice Williams and the Zodiacs,Stay,1960,17445583,790,6296,49,doo-wop,doo-wop,3.307431284,doo-wop
97,4.883493965,Billy J. Kramer and The Dakotas,Bad to Me,1964,1302962,1328,444,9,"pop, beat","pop, beat",3.221352846,"pop, beat"
10,21.87761624,The Temptations,My Girl,1965,150297031,9521,663199,73,"soul, r&b","soul, r&b",3.221272266,"soul, r&b"
80,5.545754095,Sam Cooke,Wonderful World,1960,93708300,2898,471335,74,"rhythm and blues, soul","r&b, soul",3.202694343,"r&b, soul"
27,11.35794904,Buffalo Springfield,For What It's Worth,1967,92808661,2208,144825,65,"folk rock, country rock, psychedelic rock","folk rock, country rock, psychedelic rock",3.185757148,"folk rock, country rock, psychedelic rock"
21,13.40711287,The Righteous Brothers,Unchained Melody,1965,64041107,2658,86133,64,blue-eyed soul,blue-eyed soul,3.12084114,blue-eyed soul
63,6.49284802,Ben E. King,Stand By Me,1961,59842653,1450,126058,70,"rhythm and blues, soul","r&b, soul",3.106138218,"r&b, soul"
8,25.34898699,The Turtles,Happy Together,1967,76786713,2031,109592,63,"sunshine pop, folk rock, psychedelic rock, psychedelic pop","sunshine pop, folk rock, psychedelic rock, psychedelic pop",3.087429031,"sunshine pop, folk rock, psychedelic rock, psychedelic pop"
10,21.87761624,The Mamas and The Papas,California Dreamin',1966,86019253,5544,243320,67,"sunshine pop, folk rock","sunshine pop, folk rock",3.012763113,"sunshine pop, folk rock"
45,8.107365283,The Ronettes,Be My Baby,1963,56249804,4527,59041,69,pop,pop,2.950462331,pop
7,27.68441135,Mary Wells,My Guy,1964,35289317,2824,61278,59,"soul, r&b, pop","soul, r&b, pop",2.939005088,"soul, r&b, pop"
11,20.54380234,Bruce Channel,Hey! Baby,1962,9727465,589,2853,47,pop,pop,2.920773589,pop
87,5.247075258,Marvin Gaye and Tammi Terrell,Ain't No Mountain High Enough,1967,201057355,365,1503529,77,"soul, rhythm and blues, pop","soul, r&b, pop",2.900401564,"soul, r&b, pop"
48,7.769280177,Scott Mckenzie,San Francisco (Be Sure to Wear Flowers in Your Hair),1967,33363496,746,16618,56,psychedelic pop,psychedelic pop,2.874577782,psychedelic pop
2,63.2878297,Four Tops,I Can't Help Myself (Sugar Pie Honey Bunch),1965,67571740,3598,221819,68,"soul, pop","soul, pop",2.853092129,"soul, pop"
96,4.917008807,Big Brother and The Holding Company,Piece Of My Heart,1968,48954611,3225,46610,59,"psychedelic rock, blues rock","psychedelic rock, blues rock",2.841824059,"psychedelic rock, blues rock"
10,21.87761624,Chubby Checker,The Twist,1960,15600003,1911,53283,56,rock and roll,rock and roll,2.783289896,rock and roll
54,7.188199443,Simon and Garfunkel,The Sound of Silence,1966,140952268,5562,958297,77,folk rock,folk rock,2.758886288,folk rock
46,7.990608098,Millie Small,My Boy Lollipop,1964,5202609,833,1839,37,"pop, ska","pop, ska",2.709775583,"pop, ska"
5,34.56844127,The Monkees,I'm A Believer,1967,62659630,18620,203117,66,pop rock,pop rock,2.704690815,pop rock
17,15.41358678,Martha and The Vandellas,Dancing in the Street,1964,34044681,2807,77397,62,"rhythm and blues, soul","r&b, soul",2.703290167,"r&b, soul"
1,100,The Archies,"Sugar, Sugar",1969,50009972,825,22468,59,pop rock,pop rock,2.688953314,pop rock
13,18.39913422,Aretha Franklin,Respect,1967,116863662,4631,857587,75,soul,soul,2.662493806,soul
5,34.56844127,Del Shannon,Runaway,1961,14372962,2195,40589,53,rock and roll,rock and roll,2.661728092,rock and roll
7,27.68441135,Little Eva,The Loco-Motion,1962,9076546,924,7873,49,"pop, rhythm and blues","pop, r&b",2.639254034,"pop, r&b"
8,25.34898699,The Supremes,You Can't Hurry Love,1966,77355864,5042,388007,70,"pop, soul, r&b","pop, soul, r&b",2.62082909,"pop, soul, r&b"
4,40.05349388,Roy Orbison,"Oh, Pretty Woman",1964,61232906,8655,303004,71,rock,rock,2.602717281,rock
16,16.04282372,Sonny and Cher,I Got You Babe,1965,21819443,2377,46387,56,pop,pop,2.593937196,pop
68,6.173680038,The Crystals,Then He Kissed Me,1963,18884086,1856,27866,57,"pop, rock","pop, rock",2.590181482,"pop, rock"
9,23.45308318,Chubby Checker,The Twist,1962,15615387,1911,53283,56,rock and roll,rock and roll,2.544491994,rock and roll
17,15.41358678,Arthur Conley,Sweet Soul Music,1967,14474435,777,8300,49,"soul, rhythm and blues","soul, r&b",2.541891188,"soul, r&b"
53,7.277428145,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,1967,47272819,4544,95994,64,chicago soul,chicago soul,2.540818613,chicago soul
47,7.877989793,Major Lance,"Um, Um, Um, Um, Um, Um",1964,8939235,1416,5592,47,soul,soul,2.539983667,soul
4,40.05349388,Otis Redding,(Sittin' On) The Dock Of The Bay,1968,104300081,5475,771318,74,"rhythm and blues, soul","r&b, soul",2.525983226,"r&b, soul"
3,48.42838339,Skeeter Davis,The End Of The World,1963,9808917,1796,14214,49,country,country,2.520629613,country
94,4.985808764,Chubby Checker,Let's Twist Again,1961,13359395,1911,53283,56,rock and roll,rock and roll,2.508346887,rock and roll
57,6.936215781,Elvis Presley,Can't Help Falling In Love,1962,105024049,19546,1736017,83,pop,pop,2.507906109,pop
31,10.36815025,Steppenwolf,Born To Be Wild,1968,75422669,2515,244737,68,"hard rock, proto-metal","hard rock, proto-metal",2.497551624,"hard rock, proto-metal"
21,13.40711287,The Rolling Stones,"Paint It, Black",1966,170214002,13624,3253295,84,"psychedelic rock, raga rock","psychedelic rock, raga rock",2.490097634,"psychedelic rock, raga rock"
64,6.425711417,Tom Jones,It's Not Unusual,1965,37632492,4563,193788,65,pop,pop,2.482898024,pop
98,4.850547815,The Chiffons,One Fine Day,1963,12190738,993,17916,52,pop,pop,2.469481028,pop
10,21.87761624,Frankie Valli,Can't Take My Eyes Off You,1967,34519703,2457,40393,63,pop rock,pop rock,2.44902922,pop rock
6,30.6492728,Cream,Sunshine Of Your Love,1968,68023254,3862,426817,69,"psychedelic rock, hard rock, blues rock","psychedelic rock, hard rock, blues rock",2.447799874,"psychedelic rock, hard rock, blues rock"
99,4.818155049,B. J. Thomas,Hooked On A Feeling,1969,2960882,1074,30560,20,pop,pop,2.406851311,pop
11,20.54380234,The Lovin' Spoonful,Summer In The City,1966,23790469,2804,75144,58,"pop rock, psychedelic pop","pop rock, psychedelic pop",2.402045635,"pop rock, psychedelic pop"
29,10.83471074,Barry McGuire,Eve of Destruction,1965,7190164,1344,6470,44,folk rock,folk rock,2.384768904,folk rock
81,5.500471104,Jefferson Airplane,White Rabbit,1967,49865242,6169,345105,68,psychedelic rock,psychedelic rock,2.346303766,psychedelic rock
78,5.63920084,The Kinks,You Really Got Me,1964,50309944,9987,568539,72,"hard rock, garage rock","hard rock, garage rock",2.338925025,"hard rock, garage rock"
33,9.949031357,The Supremes,Baby Love,1964,44450809,5042,388007,70,"pop, r&b","pop, r&b",2.318743891,"pop, r&b"
41,8.621099442,Bob Dylan,Like a Rolling Stone,1965,86632146,16836,1819059,79,folk rock,folk rock,2.313877798,folk rock
14,17.52086311,Jimmy Ruffin,What Becomes of the Brokenhearted,1966,16852870,1201,39014,54,soul,soul,2.294546019,soul
32,10.15315495,Martha and The Vandellas,Heat Wave,1963,19972499,2807,77397,62,soul,soul,2.288066696,soul
68,6.173680038,The Shangri-Las,Leader of the Pack,1964,7863614,3675,28986,47,"pop, teen tragedy, rock and roll","pop, teen tragedy, rock and roll",2.282825064,"pop, teen tragedy, rock and roll"
9,23.45308318,Simon and Garfunkel,Mrs. Robinson,1968,111152876,5562,958297,77,folk rock,folk rock,2.281571606,folk rock
5,34.56844127,Sly and The Family Stone,Everyday People,1969,49029109,4729,215459,66,"psychedelic soul, funk","psychedelic soul, funk",2.27886516,"psychedelic soul, funk"
9,23.45308318,The Foundations,Build Me Up Buttercup,1969,28832177,3982,16810,60,"pop, soul","pop, soul",2.273794304,"pop, soul"
78,5.63920084,The Miracles,The Tracks of My Tears,1965,28463187,5611,239780,63,soul,soul,2.269304935,soul
3,48.42838339,The Rolling Stones,(I Can't Get No) Satisfaction,1965,120360439,13624,3253295,84,"rock, hard rock","rock, hard rock",2.261186663,"rock, hard rock"
33,9.949031357,The Beach Boys,Good Vibrations,1966,80929159,15103,916992,77,"psychedelic rock, art pop, acid rock, psychedelic pop, avant-pop, r&b","psychedelic rock, art pop, acid rock, psychedelic pop, avant-pop, r&b",2.259902357,"psychedelic rock, art pop, acid rock, psychedelic pop, avant-pop, r&b"
13,18.39913422,Nancy Sinatra,These Boots Are Made for Walkin',1966,36897264,2938,139013,66,"pop rock, country rock","pop rock, country rock",2.245858412,"pop rock, country rock"
75,5.787081068,The Trashmen,Surfin' Bird,1964,7766580,620,15596,46,"surf rock, garage rock","surf rock, garage rock",2.238726422,"surf rock, garage rock"
89,5.168953147,Los Bravos,Black Is Black,1966,5988974,562,1809,42,"beat, psychedelic rock","beat, psychedelic rock",2.231222695,"beat, psychedelic rock"
18,14.84294734,Billy J. Kramer and The Dakotas,Little Children,1964,480702,1328,444,9,"pop, beat","pop, beat",2.224204968,"pop, beat"
22,13.00172664,Neil Diamond,Sweet Caroline,1969,72737534,5853,333588,71,soft rock,soft rock,2.205709873,soft rock
68,6.173680038,The Spencer Davis Group,Gimme Some Lovin',1967,20812662,1069,47331,58,"blue-eyed soul, r&b","blue-eyed soul, r&b",2.195860722,"blue-eyed soul, r&b"
33,9.949031357,Jefferson Airplane,Somebody To Love,1967,42786915,6169,345105,68,psychedelic rock,psychedelic rock,2.193211891,psychedelic rock
19,14.32262507,Sam and Dave,Soul Man,1967,29327767,4812,79480,64,soul,soul,2.192375197,soul
38,9.064478563,Procol Harum,A Whiter Shade Of Pale,1967,19406809,2794,74547,57,baroque rock,baroque rock,2.191953314,baroque rock
16,16.04282372,The Shirelles,Will You Love Me Tomorrow,1961,10966476,2186,51834,59,r&b,r&b,2.185431319,r&b
20,13.84586851,The Drifters,Under the Boardwalk,1964,26552965,4140,113446,65,"pop, soul","pop, soul",2.180035299,"pop, soul"
7,27.68441135,Paul and Paula,Hey Paula,1963,2224593,506,1425,33,"pop, pop rock","pop, pop rock",2.17373506,"pop, pop rock"
30,10.59497587,The McCoys,Hang On Sloopy,1965,5522188,499,5355,43,garage rock,garage rock,2.135857539,garage rock
62,6.561777272,The Kinks,All Day and All of the Night,1965,46065659,9987,568539,72,"garage rock, hard rock, proto-punk","garage rock, hard rock, proto-punk",2.124816009,"garage rock, hard rock, proto-punk"
29,10.83471074,Jay and The Americans,Come a Little Bit Closer,1964,14422507,978,15636,58,rock,rock,2.118040657,rock
7,27.68441135,Frank and Nancy Sinatra,Somethin' Stupid,1967,23630585,1520,139115,60,"pop, bolero, jazz","pop, bolero, jazz",2.112604364,"pop, bolero, jazz"
19,14.32262507,Ray Charles,Hit The Road Jack,1961,34945564,6315,872966,72,"r&b, jazz","r&b, jazz",2.102438792,"r&b, jazz"
35,9.570069478,Jimmy Soul,If You Wanna Be HappyIf You Wanna Be Happy,1963,2485964,338,1768,35,doo-wop,doo-wop,2.100849331,doo-wop
93,5.021127552,Aretha Franklin,I Say A Little Prayer,1968,73432380,4631,857587,75,soul,soul,2.094586403,soul
15,16.74093727,Manfred Mann,Do Wah Diddy Diddy,1964,12837467,1907,56164,56,pop rock,pop rock,2.081754534,pop rock
84,5.370017132,Wilson Pickett,"Land Of 1,000 Dances",1966,25042907,3001,143527,63,rhythm and blues,r&b,2.050741317,r&b
81,5.500471104,Cream,White Room,1968,45651039,3862,426817,69,psychedelic rock,psychedelic rock,2.048976623,psychedelic rock
12,19.39725958,Bobby Vee,Take Good Care Of My Baby,1961,8915018,1614,35092,55,"rock and roll, pop","rock and roll, pop",2.046451332,"rock and roll, pop"
4,40.05349388,Four Tops,Reach Out I'll Be There,1966,33855176,3598,221819,68,soul,soul,2.044339568,soul
21,13.40711287,The Dixie Cups,Chapel of Love,1964,6887338,963,11861,49,"pop, r&b, soul","pop, r&b, soul",2.028131845,"pop, r&b, soul"
15,16.74093727,Junior Walker and the All Stars,Shotgun,1965,14223043,1102,33499,58,soul,soul,2.023177133,soul
5,34.56844127,The Righteous Brothers,You've Lost That Lovin' Feelin',1965,20772397,2658,86133,64,"pop, r&b, blue-eyed soul","pop, r&b, blue-eyed soul",1.994941004,"pop, r&b, blue-eyed soul"
25,11.94977132,The Byrds,Mr. Tambourine Man,1965,22318155,13506,191316,66,"folk rock, jangle pop","folk rock, jangle pop",1.971605304,"folk rock, jangle pop"
70,6.056689273,Mary Wells,You Beat Me To The Punch,1962,10101881,2824,61278,59,soul,soul,1.970696009,soul
26,11.64441273,Little Peggy March,I Will Follow Him,1963,2217411,941,1439,38,pop,pop,1.944674523,pop
89,5.168953147,The Lovin' Spoonful,Do You Believe in Magic,1965,13364245,2804,75144,58,"folk rock, sunshine pop","folk rock, sunshine pop",1.942998064,"folk rock, sunshine pop"
73,5.891242669,Harry Nilsson,Everybody's Talkin',1969,28984946,5091,84021,63,soft rock,soft rock,1.927757742,soft rock
2,63.2878297,The Beach Boys,Surfin' U.S.A.,1963,40283487,15103,916992,77,"surf rock, rock and roll","surf rock, rock and roll",1.926728738,"surf rock, rock and roll"
62,6.561777272,Steppenwolf,Magic Carpet Ride,1968,42602063,2515,244737,68,"acid rock, psychedelic rock, hard rock","acid rock, psychedelic rock, hard rock",1.926346423,"acid rock, psychedelic rock, hard rock"
69,6.114481004,The Yardbirds,Heart Full of Soul,1965,14356985,5123,163619,59,raga rock,raga rock,1.915727601,raga rock
60,6.705330284,The Marketts,Out of Limits,1964,3076822,390,3121,39,surf rock,surf rock,1.912177842,surf rock
1,100,Percy Faith,"Theme From ""A Summer Place""",1960,5001152,1180,9877,52,easy listening,easy listening,1.901440127,easy listening
86,5.287264321,Jimmy Dean,Big Bad John,1961,2739818,1804,13340,43,"country, pop","country, pop",1.897999195,"country, pop"
24,12.27610461,The Troggs,Wild Thing,1966,10680673,1786,54219,53,"garage rock, hard rock, proto-punk","garage rock, hard rock, proto-punk",1.89532517,"garage rock, hard rock, proto-punk"
25,11.94977132,The Ventures,"Walk, Don't Run",1960,4127116,2678,43237,51,"rock, surf rock","rock, surf rock",1.873135245,"rock, surf rock"
78,5.63920084,Kenny Rogers and The First Edition,"Ruby, Don't Take Your Love To Town",1969,6029763,5172,4793,44,"country, pop","country, pop",1.868246242,"country, pop"
24,12.27610461,Creedence Clearwater Revival,Bad Moon Rising,1969,115917311,4802,1379818,81,"roots rock, swamp rock, country rock","roots rock, swamp rock, country rock",1.868098198,"roots rock, swamp rock, country rock"
76,5.736711756,Rosie and The Originals,Angel Baby,1961,3204938,827,8737,47,doo-wop,doo-wop,1.826787137,doo-wop
95,4.951108236,Bobby Fuller Four,I Fought The Law,1966,5019487,1299,4617,45,garage rock,garage rock,1.826386487,garage rock
26,11.64441273,The Drifters,Save The Last Dance For Me,1960,11458687,4140,113446,65,"r&b, pop","r&b, pop",1.819209153,"r&b, pop"
15,16.74093727,Marty Robbins,El Paso,1960,8663683,1930,73354,61,"country, tex-mex","country, tex-mex",1.800981302,"country, tex-mex"
20,13.84586851,The Supremes,Stop! In the Name of Love,1965,29765413,5042,388007,70,"pop, r&b, soul","pop, r&b, soul",1.791733799,"pop, r&b, soul"
29,10.83471074,Lesley Gore,It's My Party,1963,6895751,1458,27747,54,"pop, rock, blue-eyed soul","pop, rock, blue-eyed soul",1.787475165,"pop, rock, blue-eyed soul"
2,63.2878297,The 5th Dimension,Aquarius / Let The Sunshine In,1969,11308691,2394,33627,53,"psychedelic soul, sunshine pop","psychedelic soul, sunshine pop",1.762097821,"psychedelic soul, sunshine pop"
6,30.6492728,Bobby Vinton,Blue Velvet,1963,8522784,1732,40275,58,traditional pop,traditional pop,1.758970232,traditional pop
6,30.6492728,Petula Clark,Downtown,1965,7403339,4478,44484,53,soul,soul,1.745216317,soul
34,9.754924552,The Rooftop Singers,Walk Right In,1963,1048770,428,961,29,"folk, bluegrass","folk, bluegrass",1.743779527,"folk, bluegrass"
29,10.83471074,Sam Cooke,Chain Gang,1960,21685399,2898,471335,74,"rhythm and blues, soul","r&b, soul",1.739146754,"r&b, soul"
20,13.84586851,Roy Orbison,Only The Lonely,1960,15956833,8655,303004,71,"pop, rock 'n' roll","pop, rock and roll",1.737486834,"pop, rock and roll"
63,6.49284802,Jackie DeShannon,What the World Needs Now Is Love,1965,4468238,2242,8331,47,"folk rock, jazz, soul","folk rock, jazz, soul",1.731956557,"folk rock, jazz, soul"
93,5.021127552,Edwin Hawkins Singers,Oh Happy Day,1969,4019864,785,2232,38,gospel,gospel,1.728201466,gospel
43,8.35431448,"Clarence ""Frogman"" Henry",(I Don't Know Why) But I Do,1961,1646381,553,3594,39,"r&b, swamp pop, country","r&b, swamp pop, country",1.719658697,"r&b, swamp pop, country"
5,34.56844127,The Beach Boys,I Get Around,1964,36498083,15103,916992,77,"california sound, pop, surf vocal, car song","california sound, pop, surf vocal, car song",1.70656053,"california sound, pop, surf vocal, car song"
19,14.32262507,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960,3452011,1193,8485,50,bubblegum pop,bubblegum pop,1.688926407,bubblegum pop
66,6.296526022,The Easybeats,Friday On My Mind,1967,6038048,4259,16041,49,"pop rock, garage rock","pop rock, garage rock",1.68890447,"pop rock, garage rock"
81,5.500471104,Doris Troy,Just One Look,1963,2024598,542,3167,39,rhythm and blues,r&b,1.662585176,r&b
67,6.234342105,The Human Beinz,Nobody But Me,1968,3919199,835,3328,40,"rock, garage rock","rock, garage rock",1.659618947,"rock, garage rock"
46,7.990608098,James and Bobby Purify,I'm Your Puppet,1966,3820190,566,4017,43,r&b,r&b,1.658192089,r&b
6,30.6492728,The Doors,Light My Fire,1967,53866236,8577,1978221,78,psychedelic rock,psychedelic rock,1.652381128,psychedelic rock
39,8.910403258,Carla Thomas,B-A-B-Y,1966,9284829,1161,13292,57,"r&b, pop","r&b, pop",1.632543687,"r&b, pop"
27,11.35794904,The Marvelettes,Playboy,1962,8011077,3009,65203,60,"pop, r&b","pop, r&b",1.632512781,"pop, r&b"
88,5.207645782,Marvin Gaye,I Heard It Through The Grapevine,1969,73644587,7086,1499687,78,"r&b, psychedelic soul","r&b, psychedelic soul",1.629893836,"r&b, psychedelic soul"
51,7.4645509,Shirley Bassey,Goldfinger,1965,7846673,4467,74478,55,"pop, orchestral pop, r&b","pop, orchestral pop, r&b",1.628283953,"pop, orchestral pop, r&b"
10,21.87761624,The Supremes,Where Did Our Love Go,1964,22205872,5042,388007,70,"r&b, pop, doo-wop","r&b, pop, doo-wop",1.624717488,"r&b, pop, doo-wop"
38,9.064478563,The Isley Brothers,Twist And Shout,1962,16962564,2160,387904,69,"rock and roll, r&b","rock and roll, r&b",1.622313692,"rock and roll, r&b"
20,13.84586851,Sly and The Family Stone,Dance To The Music,1968,22774230,4729,215459,66,"psychedelic soul, funk","psychedelic soul, funk",1.615345023,"psychedelic soul, funk"
46,7.990608098,Dion,Runaround Sue,1961,27540370,3245,941947,79,"doo-wop, rock and roll","doo-wop, rock and roll",1.604344581,"doo-wop, rock and roll"
77,5.687430745,Curtis Lee,Pretty Little Angel Eyes,1961,847297,1967,1158,33,"pop, doo-wop","pop, doo-wop",1.599841181,"pop, doo-wop"
25,11.94977132,The Beatles with Billy Preston,Get Back,1969,27161082,3613,16112,70,blues rock,blues rock,1.595275581,blues rock
50,7.562750921,Chad and Jeremy,A Summer Song,1964,2344444,1030,8629,39,pop,pop,1.589664072,pop
12,19.39725958,Dion,The Wanderer,1962,30747630,3245,941947,79,"rhythm and blues, pop, rock and roll","r&b, pop, rock and roll",1.58872189,"r&b, pop, rock and roll"
94,4.985808764,Aretha Franklin,Think,1968,44177032,4631,857587,75,soul,soul,1.586426436,soul
4,40.05349388,The Cascades,Rhythm Of The Rain,1963,3825570,651,10722,48,"pop, doo-wop","pop, doo-wop",1.581655669,"pop, doo-wop"
94,4.985808764,The Monkees,Daydream Believer,1967,20192730,18620,203117,66,psychedelic pop,psychedelic pop,1.572296073,psychedelic pop
26,11.64441273,Zager and Evans,In The Year 2525,1969,5177087,704,1710,45,folk rock,folk rock,1.57213606,folk rock
34,9.754924552,Wayne Fontana and The Mindbenders,Game of Love,1965,1630980,522,2826,34,"beat, garage rock, blues rock","beat, garage rock, blues rock",1.54049293,"beat, garage rock, blues rock"
24,12.27610461,The Miracles,Shop Around,1961,8287327,5611,239780,63,soul,soul,1.538551572,soul
28,11.08857401,Jan and Dean,Surf City,1963,2529316,4719,11325,45,vocal surf,vocal surf,1.537725521,vocal surf
49,7.664266318,Ricky Nelson,Hello Mary Lou,1961,5626492,4885,61434,56,rockabilly,rockabilly,1.536955322,rockabilly
56,7.017717833,The Crystals,Da Doo Ron Ron,1963,6562159,1856,27866,57,"r&b, pop, doo-wop","r&b, pop, doo-wop",1.53318159,"r&b, pop, doo-wop"
12,19.39725958,Roger Miller,King of the Road,1965,7828198,3536,36057,57,country,country,1.530791089,country
47,7.877989793,The Lemon Pipers,Green Tambourine,1968,2827207,1228,4252,37,"psychedelic rock, psychedelic pop, bubblegum pop","psychedelic rock, psychedelic pop, bubblegum pop",1.527625545,"psychedelic rock, psychedelic pop, bubblegum pop"
33,9.949031357,Neil Sedaka,Calendar Girl,1961,6665463,7962,68157,59,brill building,brill building,1.527339852,brill building
33,9.949031357,James Brown,Papa's Got a Brand New Bag,1965,22403335,12563,775026,71,"soul, funk, rhythm and blues","soul, funk, r&b",1.522380728,"soul, funk, r&b"
16,16.04282372,"Peter, Paul and Mary","Puff, The Magic Dragon",1963,7184102,1386,94676,57,"folk, pop","folk, pop",1.514742154,"folk, pop"
5,34.56844127,? and the Mysterians,96 Tears,1966,3040043,1979,7446,42,"garage rock, pop rock, psychedelic rock","garage rock, pop rock, psychedelic rock",1.501058435,"garage rock, pop rock, psychedelic rock"
17,15.41358678,The Young Rascals,Good Lovin',1966,4783568,2093,20025,48,"rhythm and blues, blue-eyed soul","r&b, blue-eyed soul",1.495644891,"r&b, blue-eyed soul"
41,8.621099442,The Lovin' Spoonful,Daydream,1966,9579486,2804,75144,58,folk rock,folk rock,1.492384534,folk rock
15,16.74093727,The Mar-Keys,Last Night,1961,1118216,1102,5742,36,"r&b, instrumental rock","r&b, instrumental rock",1.491765224,"r&b, instrumental rock"
42,8.485070759,Ruby And The Romantics,Our Day Will Come,1963,634923,1335,744,27,r&b,r&b,1.483319601,r&b
49,7.664266318,The Cowsills,"The Rain, The Park And Other Things",1967,3174001,2784,12812,42,psychedelic pop,psychedelic pop,1.47970887,psychedelic pop
67,6.234342105,Ray Peterson,Tell Laura I Love Her,1960,1317706,527,3375,38,pop,pop,1.479432825,pop
10,21.87761624,Archie Bell and The Drells,Tighten Up,1968,3636744,929,5752,43,funk,funk,1.47310543,funk
23,12.62582101,Strawberry Alarm Clock,Incense And Peppermints,1967,3209861,2881,16998,42,"psychedelic rock, acid rock, psychedelic pop","psychedelic rock, acid rock, psychedelic pop",1.465391883,"psychedelic rock, acid rock, psychedelic pop"
10,21.87761624,Tommy James and The Shondells,Crimson And Clover,1969,11905252,1401,43850,56,"psychedelic pop, psychedelic rock","psychedelic pop, psychedelic rock",1.455822457,"psychedelic pop, psychedelic rock"
64,6.425711417,The Reflections,(Just Like) Romeo and Juliet,1964,182525,623,227,6,"pop, doo-wop","pop, doo-wop",1.45306064,"pop, doo-wop"
29,10.83471074,Brian Hyland,Sealed With A Kiss,1962,3465190,1193,8485,50,pop,pop,1.452953343,pop
48,7.769280177,The Yardbirds,For Your Love,1965,8967649,5123,163619,59,pop rock,pop rock,1.445114564,pop rock
43,8.35431448,Mason Williams,Classical Gas,1968,2922557,1908,3521,40,"easy listening, classical, baroque pop","easy listening, classical, baroque pop",1.444623992,"easy listening, classical, baroque pop"
