Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,GenreRaw,GenreClean,Tar-Pre
36,9.393779234,Lesley Gore,You Don't Own Me,1964,5423583,1458,27747,54,"pop, r&b","pop, r&b",1.429232346
5,34.56844127,The Chiffons,He's So Fine,1963,4300451,993,17916,52,"pop, doo-wop","pop, doo-wop",1.427524446
11,20.54380234,Jeannie C. Riley,Harper Valley P.T.A.,1968,2780119,1067,8772,39,"country, country pop","country, country pop",1.418395739
27,11.35794904,The Chantays,Pipeline,1963,1118918,674,2907,34,surf rock,surf rock,1.409636986
30,10.59497587,Peter and Gordon,A World Without Love,1964,2782696,951,12316,44,pop,pop,1.407789737
94,4.985808764,The Ikettes,I'm Blue (The Gong-Gong Song),1962,430899,1813,946,24,"blues, r&b, rock 'n' roll","blues, r&b, rock and roll",1.397845567
100,4.786300923,The Searchers,Needles and Pins,1964,3843254,3308,35327,50,"jangle pop, merseybeat, british rock and roll","jangle pop, merseybeat, british rock and roll",1.395990648
15,16.74093727,Neil Sedaka,Breaking Up Is Hard To Do,1962,6350083,7962,68157,59,"brill building, doo-wop","brill building, doo-wop",1.386347239
26,11.64441273,The Newbeats,Bread and Butter,1964,469577,566,528,21,pop,pop,1.385742662
9,23.45308318,The Young Rascals,Groovin',1967,4783568,2093,20025,48,"r&b, blue-eyed soul","r&b, blue-eyed soul",1.375744946
48,7.769280177,The Temptations,Ain't Too Proud to Beg,1966,26620715,9521,663199,73,"soul, r&b","soul, r&b",1.364374383
1,100,Sam the Sham and the Pharaohs,Wooly Bully,1965,3020229,1129,7727,46,"rock and roll, garage rock","rock and roll, garage rock",1.364273791
14,17.52086311,Mel Carter,"Hold Me, Thrill Me, Kiss Me",1965,1339521,265,1470,34,"pop music, soul","pop music, soul",1.363248701
7,27.68441135,The Mamas and The Papas,"Monday, Monday",1966,16358219,5544,243320,67,"sunshine pop, folk rock","sunshine pop, folk rock",1.352922432
36,9.393779234,The Capitols,Cool Jerk,1966,1499894,879,1189,35,rhythm and blues,r&b,1.348932446
18,14.84294734,Elvis Presley,Suspicious Minds,1969,76262262,19546,1736017,83,"rock, country, soul, pop","rock, country, soul, pop",1.34865247
56,7.017717833,The Temptations,You're My Everything,1967,29435462,9521,663199,73,soul,soul,1.338910837
2,63.2878297,Jim Reeves,He'll Have To Go,1960,4377343,4240,59717,59,"country, pop","country, pop",1.327262542
30,10.59497587,Mary Hopkin,Those Were The Days,1968,2920155,2131,6191,41,folk,folk,1.326298671
92,5.057082445,Eddie Hodges,I'm Gonna Knock On Your Door,1961,568081,688,715,31,pop,pop,1.324756658
70,6.056689273,The Temptations,The Way You Do the Things You Do,1964,19638035,9521,663199,73,"soul, doo-wop, r&b, pop","soul, doo-wop, r&b, pop",1.312100983
16,16.04282372,The Youngbloods,Get Together,1969,4951529,1084,15520,45,"folk rock, psychedelic rock","folk rock, psychedelic rock",1.308232063
64,6.425711417,Count Five,Psychotic Reaction,1966,2591519,694,6598,42,"garage rock, acid rock, psychedelic rock, proto-punk","garage rock, acid rock, psychedelic rock, proto-punk",1.30655564
68,6.173680038,Chris Montez,Let's Dance,1962,2039928,1050,4991,46,rock and roll,rock and roll,1.302530661
21,13.40711287,The Isley Brothers,It's Your Thing,1969,28175220,2160,387904,69,funk,funk,1.279343568
31,10.36815025,The Honeycombs,Have I the Right?,1964,1006483,2399,5274,33,pop,pop,1.254051047
13,18.39913422,Gene Chandler,Duke Of Earl,1962,1890074,1289,15582,45,"soul, doo-wop","soul, doo-wop",1.248359869
20,13.84586851,The Surfaris,Wipe Out,1963,1632562,930,9502,41,surf rock,surf rock,1.244342093
84,5.370017132,Rolf Harris,"Tie Me Kangaroo Down, Sport",1963,699358,5455,4912,31,folk/pop,folk/pop,1.232965746
15,16.74093727,Gary Puckett and The Union Gap,Young Girl,1968,5359097,1275,28054,51,pop,pop,1.228472873
49,7.664266318,The Standells,Dirty Water,1966,1416973,2084,4580,35,"garage rock, proto-punk","garage rock, proto-punk",1.22830987
33,9.949031357,Randy and The Rainbows,Denise,1963,639192,409,1122,29,doo-wop,doo-wop,1.228281254
71,6.000251993,Barbara Lynn,You'll Lose A Good Thing,1962,1657027,714,8960,43,rhythm & blues,r&b,1.225101562
37,9.225435188,Dionne Warwick,Walk On By,1964,8336468,7251,158688,63,"soul, pop","soul, pop",1.223491671
13,18.39913422,Jewel Akens,The Birds and the Bees,1965,502507,298,354,23,"pop, easy listening","pop, easy listening",1.213325563
45,8.107365283,Faron Young,Hello Walls,1961,1490230,1733,15508,44,country,country,1.210532202
4,40.05349388,Roy Orbison,Crying,1961,10605581,8655,303004,71,"country, rock","country, rock",1.209088283
24,12.27610461,Frankie Valli and The Four Seasons,Walk Like A Man,1963,9797062,4256,157449,67,rock,rock,1.20625355
98,4.850547815,The American Breed,"Bend Me, Shape Me",1968,849143,945,244,28,pop rock,pop rock,1.19216682
32,10.15315495,Barry Mann,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",1961,664163,737,1246,35,"doo-wop, bubblegum pop (sugaryline version)","doo-wop, bubblegum pop (sugaryline version)",1.182916651
40,8.762749681,The Beatles,Twist and Shout,1964,55584330,14112,5042014,89,rock and roll,rock and roll,1.170174557
22,13.00172664,Terry Stafford,Suspicion,1964,747126,603,1081,31,rockabilly,rockabilly,1.165646072
16,16.04282372,Claude King,Wolverton Mountain,1962,453022,1100,1549,27,country,country,1.147053659
79,5.59198657,Larry Finnegan,Dear One,1962,305231,186,838,20,pop,pop,1.142409938
38,9.064478563,Ohio Express,"Yummy, Yummy, Yummy",1968,1485174,2190,3765,34,bubblegum pop,bubblegum pop,1.142207005
42,8.485070759,Larry Verne,Mr. Custer,1960,154240,163,174,14,novelty,novelty,1.097349218
61,6.632577127,Donovan,Hurdy Gurdy Man,1968,11057785,6108,128894,62,"psychedelic rock, folk rock, psychedelic folk","psychedelic rock, folk rock, psychedelic folk",1.095807755
23,12.62582101,The Delfonics,La-La Means I Love You,1968,7088859,1723,98459,56,"r&b, soul, philadelphia soul","r&b, soul, philadelphia soul",1.092573282
59,6.780124557,Stevie Wonder,Uptight (Everything's Alright),1966,37974338,4980,1821274,81,soul,soul,1.092439195
80,5.545754095,The Turtles,Elenore,1968,11675269,2031,109592,63,sunshine pop,sunshine pop,1.086215647
44,8.228510611,Barbara Lewis,Hello Stranger,1963,2429382,703,12788,49,r&b,r&b,1.085704201
53,7.277428145,The Shangri-Las,Remember (Walking in the Sand),1964,2373825,3675,28986,47,pop,pop,1.085081346
34,9.754924552,The Mindbenders,A Groovy Kind of Love,1966,1144597,978,2826,34,pop,pop,1.083585209
25,11.94977132,John Fred and His Playboy Band,Judy In Disguise (With Glasses),1968,1079207,448,911,30,pop rock,pop rock,1.074626141
40,8.762749681,The Casinos,Then You Can Tell Me Goodbye,1967,502765,396,360,23,doo-wop,doo-wop,1.060677234
50,7.562750921,Spiral Starecase,More Today Than Yesterday,1969,1062626,622,94,33,jazz-rock,jazz-rock,1.059530887
1,100,SSgt Barry Sadler,Ballad of the Green Berets,1966,956352,1513,1143,33,"country, folk, pop","country, folk, pop",1.053816825
6,30.6492728,The Jive Five,My True Story,1961,549734,807,1910,31,doo-wop,doo-wop,1.046248031
1,100,The Beatles,I Want to Hold Your Hand,1964,48975471,14112,5042014,89,"rock and roll, pop, pop rock","rock and roll, pop, pop rock",1.04359281
59,6.780124557,Roy Orbison,In Dreams,1963,11402194,8655,303004,71,rock,rock,1.041730134
23,12.62582101,Ricky Nelson,Travelin' Man,1961,3426713,4885,61434,56,pop,pop,1.041070658
7,27.68441135,Herb Alpert,This Guy's In Love With You,1968,4842746,3642,34974,53,pop,pop,1.034409829
85,5.328236693,The Beatles,Come Together,1969,87467921,14112,5042014,89,rock,rock,1.033075031
88,5.207645782,Tommy Tucker,Hi-Heel Sneakers,1964,413656,314,436,25,blues,blues,0.995268542
66,6.296526022,Tom Jones,Delilah,1968,11990628,4563,193788,65,"pop, schlager","pop, schlager",0.986191711
87,5.247075258,The Chambers Brothers,Time Has Come Today,1968,2079713,1186,6387,40,"psychedelic rock, psychedelic soul, acid rock","psychedelic rock, psychedelic soul, acid rock",0.984148513
3,48.42838339,The Everly Brothers,Cathy's Clown,1960,4180758,4114,120725,63,pop,pop,0.972179676
23,12.62582101,Sam Cooke,Twistin' The Night Away,1962,12685198,2898,471335,74,rhythm and blues,r&b,0.96315981
22,13.00172664,Connie Stevens,Sixteen Reasons,1960,272674,1205,1566,27,traditional pop,traditional pop,0.963133415
1,100,The Beatles,Hey Jude,1968,71297498,14112,5042014,89,rock,rock,0.946758219
28,11.08857401,Merrilee Rush,Angel Of The Morning,1968,719339,916,463,28,"pop, country","pop, country",0.946432944
14,17.52086311,The Beatles,Love Me Do,1964,44061168,14112,5042014,89,"merseybeat, pop, r&b","merseybeat, pop, r&b",0.93785208
28,11.08857401,Johnny Horton,Sink The Bismark,1960,1971530,1545,34800,53,country,country,0.932959276
26,11.64441273,Donovan,Sunshine Superman,1966,7309228,6108,128894,62,"psychedelic pop, folk rock, psychedelic folk","psychedelic pop, folk rock, psychedelic folk",0.921610599
93,5.021127552,The Electric Prunes,I Had Too Much To Dream Last Night,1967,1709322,3498,14684,41,"psychedelic rock, garage rock","psychedelic rock, garage rock",0.920966277
43,8.35431448,Gerry and the Pacemakers,Ferry Cross the Mersey,1965,3617809,954,37416,52,"merseybeat, pop","merseybeat, pop",0.912636107
69,6.114481004,The Hombres,Let It Out (Let It All Hang Out),1967,487070,567,419,25,"southern rock, garage rock","southern rock, garage rock",0.908394584
63,6.49284802,The Surfaris,Wipe Out,1966,1632562,930,9502,41,surf rock,surf rock,0.890059909
93,5.021127552,The Miracles,Ooo Baby Baby,1965,7102863,5611,239780,63,"soul, pop","soul, pop",0.881191309
35,9.570069478,Dusty Springfield,You Don't Have To Say You Love Me,1966,9288509,7320,129104,67,traditional pop,traditional pop,0.87682372
97,4.883493965,Don Gibson,Sea Of Heartbreak,1961,1088344,648,12521,44,country,country,0.874476293
79,5.59198657,Joe South,Games People Play,1969,1685229,1107,2654,38,folk rock,folk rock,0.873568193
57,6.936215781,The Seekers,Georgy Girl,1967,3269441,3634,26326,51,"pop rock, folk","pop rock, folk",0.854590244
22,13.00172664,Every Mothers' Son,Come On Down To My Boat,1967,325371,671,159,21,pop rock,pop rock,0.854450894
19,14.32262507,Creedence Clearwater Revival,Proud Mary,1969,42019403,4802,1379818,81,"roots rock, swamp rock","roots rock, swamp rock",0.853352585
11,20.54380234,Connie Francis,Everybody's Somebody's Fool,1960,2306079,4607,58984,57,pop,pop,0.852104659
66,6.296526022,The Jaynetts,Sally Go 'Round the Roses,1963,233859,1280,270,23,"r&b, pop","r&b, pop",0.842418029
4,40.05349388,We Five,You Were on My Mind,1965,460827,1179,1649,27,pop rock,pop rock,0.8178708
1,100,Jimmy Gilmer and The Fireballs,Sugar Shack,1963,226227,673,55,23,"garage rock, rock and roll","garage rock, rock and roll",0.814001086
34,9.754924552,The Esquires,Get On Up,1967,373440,388,418,22,r&b,r&b,0.809808177
47,7.877989793,Hank Locklin,"Please Help Me, I'm Falling",1960,1127831,601,8477,45,country,country,0.793035315
25,11.94977132,Joey Dee and The Starliters,Peppermint Twist,1962,443963,1048,736,33,rock and roll,rock and roll,0.790061443
35,9.570069478,Elvis Presley,In The Ghetto,1969,43512214,19546,1736017,83,"country, pop, soul","country, pop, soul",0.787515934
26,11.64441273,Classics IV,Spooky,1968,2095546,1391,8769,43,jazz fusion,jazz fusion,0.786091914
40,8.762749681,The Left Banke,Walk Away Renee,1966,856321,1760,4574,34,"baroque rock, baroque pop","baroque rock, baroque pop",0.782342677
99,4.818155049,Bobby Bare,500 Miles,1963,2379488,1542,30392,53,"country, easy listening","country, easy listening",0.780685192
78,5.63920084,Patsy Cline,She's Got You,1962,4593182,8503,201170,62,"country, traditional pop","country, traditional pop",0.779013332
73,5.891242669,Rufus Thomas,Walking the Dog,1963,1566133,1954,15116,48,r&b,r&b,0.770445836
22,13.00172664,The Dovells,Bristol Stomp,1961,310096,591,1286,29,doo-wop,doo-wop,0.76616162
52,7.369496097,The Paris Sisters,I Love How You Love Me,1961,368245,315,985,32,pop,pop,0.759278737
5,34.56844127,Mark Dinning,Teen Angel,1960,436274,303,412,34,"pop, teenage tragedy song","pop, teenage tragedy song",0.753339902
50,7.562750921,Bob Lind,Elusive Butterfly,1966,560837,676,1071,29,folk,folk,0.749786145
37,9.225435188,Bent Fabric,Alley Cat,1962,145527,630,534,17,pop,pop,0.737708764
30,10.59497587,The Supremes,You Keep Me Hangin' On,1966,11752447,5042,388007,70,"soul, pop","soul, pop",0.736474179
83,5.412631479,The Sandpipers,Guantanamera,1966,650585,1407,2566,31,"pop, easy listening, latin, folk","pop, easy listening, latin, folk",0.734916533
29,10.83471074,Floyd Cramer,On The Rebound,1961,660129,964,5198,40,"folk, world, country","folk, world, country",0.730505224
60,6.705330284,Henry Mancini,Moon River,1962,2813365,2486,51803,58,pop,pop,0.721479114
49,7.664266318,The Beach Boys,California Girls,1965,15339865,15103,916992,77,"pop rock, art pop, california sound","pop rock, art pop, california sound",0.718269474
52,7.369496097,Bob Dylan,Lay Lady Lay,1969,28002786,16836,1819059,79,country rock,country rock,0.713892414
82,5.456106733,Allan Sherman,"Hello Muddah, Hello Faddah! (A Letter from Camp)",1963,445104,3735,2237,33,novelty song,novelty song,0.711612169
53,7.277428145,Garnet Mimms and the Enchanters,Cry Baby,1963,482015,844,1724,33,soul blues,soul blues,0.704402458
61,6.632577127,The Beach Boys,Sloop John B,1966,17048533,15103,916992,77,"folk rock, chamber pop","folk rock, chamber pop",0.702392324
3,48.42838339,Bobby Goldsboro,Honey,1968,3169958,618,17856,48,country,country,0.701373518
10,21.87761624,The Impressions,It's All Right,1963,2590697,2033,56679,55,soul,soul,0.69765136
14,17.52086311,Freddy Cannon,Palisades Park,1962,548294,1289,4208,36,rock and roll,rock and roll,0.695385283
27,11.35794904,Barbara Mason,"Yes, I'm Ready",1965,1808097,462,20942,46,"soul, r&b, pop","soul, r&b, pop",0.693521214
44,8.228510611,The Guess Who,These Eyes,1969,7675817,4136,89007,61,"baroque pop, blue-eyed soul","baroque pop, blue-eyed soul",0.693519259
17,15.41358678,Gary Lewis and The Playboys,This Diamond Ring,1965,1396838,972,18387,43,pop rock,pop rock,0.683640943
6,30.6492728,Tommy Roe,Dizzy,1969,2289433,711,11071,43,bubblegum pop,bubblegum pop,0.682983757
18,14.84294734,The Soul Survivors,Expressway To Your Heart,1967,349967,497,259,24,dance-soul,dance-soul,0.67955457
45,8.107365283,The Tremeloes,Silence Is Golden,1967,2242962,1669,22983,48,beat,beat,0.679144957
8,25.34898699,Gale Garnett,We'll Sing in the Sunshine,1964,211353,1522,384,22,folk,folk,0.676631843
15,16.74093727,Henry Mancini and His Orch.,Love Theme From Romeo And Juliet,1969,1011300,2486,1815,35,pop,pop,0.675904946
80,5.545754095,The Shadows Of Knight,Gloria,1966,880067,1856,5704,36,garage rock,garage rock,0.666296585
7,27.68441135,The Beatles,Help!,1965,37599801,14112,5042014,89,folk rock,folk rock,0.661177926
31,10.36815025,The Beatles,Ticket to Ride,1965,37599801,14112,5042014,89,"power pop, jangle pop, folk rock","power pop, jangle pop, folk rock",0.661177926
53,7.277428145,Lee Dorsey,Ya Ya,1961,1445791,752,10044,53,"soul, rock and roll","soul, rock and roll",0.652033992
4,40.05349388,The Association,Windy,1967,2621319,3791,31514,50,sunshine pop,sunshine pop,0.636233169
38,9.064478563,Barbara Lewis,Baby I'm Yours,1965,1960486,703,12788,49,r&b,r&b,0.635071575
52,7.369496097,Billy Joe Royal,Down in the Boondocks,1965,797177,533,6025,36,"country, rock, beat","country, rock, beat",0.627216978
38,9.064478563,The Cyrkle,Red Rubber Ball,1966,846269,669,3805,36,pop,pop,0.61443463
4,40.05349388,Bobby Vinton,Roses Are Red (My Love),1962,2365412,1732,40275,58,pop,pop,0.602962079
18,14.84294734,Connie Francis,Where The Boys Are,1961,1961350,4607,58984,57,traditional pop music,traditional pop music,0.570297206
91,5.093692001,Manfred Mann,The Mighty Quinn,1968,4682816,1907,56164,56,rock,rock,0.569390119
6,30.6492728,The Monkees,Last Train to Clarksville,1966,6568548,18620,203117,66,rock,rock,0.569166183
20,13.84586851,Sue Thompson,Sad Movies (Make Me Cry),1961,414305,547,2313,36,"pop, easy listening","pop, easy listening",0.568100428
98,4.850547815,Tom Jones,"Green, Green Grass Of Home",1967,6995926,4563,193788,65,"country, schlager","country, schlager",0.565048957
49,7.664266318,Ernie Maresca,Shout! Shout! (Knock Yourself Out),1962,122280,533,165,18,"rock and roll, doo-wop","rock and roll, doo-wop",0.563300362
73,5.891242669,Connie Francis,Among My Souvenirs,1960,1725415,4607,58984,57,pop,pop,0.562023581
41,8.621099442,Los Indios Tabajaras,Maria Elena,1963,1207317,377,9249,46,instrumental,instrumental,0.561727525
7,27.68441135,Elvis Presley,It's Now Or Never,1960,11766868,19546,1736017,83,pop,pop,0.558788102
34,9.754924552,Smith,Baby It's You,1969,2775811,465,2398,50,hard rock,hard rock,0.558707243
35,9.570069478,The Rascals,A Beautiful Morning,1968,2144939,2093,20025,48,"rock, soul","rock, soul",0.555768164
86,5.287264321,The Animals,We Gotta Get out of This Place,1965,9687979,3699,457784,71,rock,rock,0.554798411
36,9.393779234,Martha and The Vandellas,Jimmy Mack,1967,5617771,2807,77397,62,soul/pop,soul/pop,0.547269139
65,6.360293906,The Miracles,You've Really Got a Hold on Me,1963,3940869,5611,239780,63,soul,soul,0.543659986
69,6.114481004,Elvis Presley,(You're the) Devil in Disguise,1963,16593049,19546,1736017,83,"rhythm and blues, rock and roll","r&b, rock and roll",0.542808835
36,9.393779234,Johnny Cash,A Boy Named Sue,1969,28269065,8925,1981882,80,"country, talking blues, comedy","country, talking blues, comedy",0.534457042
77,5.687430745,Vanilla Fudge,(You Keep Me) Hangin' On,1968,1561590,1607,20343,41,psychedelic rock,psychedelic rock,0.528967276
26,11.64441273,Brenton Wood,Gimme Little Sign,1967,3623924,1103,43216,57,"r&b, soul, pop","r&b, soul, pop",0.52010554
37,9.225435188,Trini Lopez,If I Had A Hammer,1963,975647,1331,8733,45,folk rock,folk rock,0.515344981
67,6.234342105,Buzz Clifford,Baby Sittin' Boogie,1961,91330,544,247,16,pop,pop,0.501766581
83,5.412631479,Four Tops,It's the Same Old Song,1965,6423287,3598,221819,68,"soul, pop","soul, pop",0.499832261
3,48.42838339,Bobby Gentry,Ode To Billie Joe,1967,170998,1879,1245,14,country,country,0.497478056
70,6.056689273,The Grass Roots,Let's Live For Today,1967,2649781,4194,30550,54,"psychedelic pop, folk rock","psychedelic pop, folk rock",0.492829818
26,11.64441273,Sounds Orchestral,Cast Your Fate to the Wind,1965,183364,821,255,20,jazz rock,jazz rock,0.490791604
2,63.2878297,The Beatles,She Loves You,1964,28087844,14112,5042014,89,"rock and roll, pop","rock and roll, pop",0.487610114
78,5.63920084,Bobby Vee,The Night Has a Thousand Eyes,1963,2254109,1614,35092,55,pop,pop,0.486426678
51,7.4645509,Simon and Garfunkel,I Am a Rock,1966,14516548,5562,958297,77,folk rock,folk rock,0.48575422
56,7.017717833,Blue Cheer,Summertime Blues,1968,1113051,2021,16348,37,"heavy metal, hard rock","heavy metal, hard rock",0.485692573
31,10.36815025,Sam the Sham and the Pharaohs,Li'l Red Riding Hood,1966,1369674,1129,7727,46,garage rock,garage rock,0.455859279
26,11.64441273,Gene Mcdaniels,A Hundred Pounds Of Clay,1961,213849,909,925,29,soul,soul,0.45145004
49,7.664266318,Friend and Lover,Reach Out Of The Darkness,1968,388976,425,258,26,pop,pop,0.445190301
4,40.05349388,The Rolling Stones,Honky Tonk Women,1969,31163770,13624,3253295,84,"hard rock, rock and roll","hard rock, rock and roll",0.439333524
96,4.917008807,The Beatles,Yellow Submarine,1966,33759504,14112,5042014,89,"psychedelic rock, orchestral","psychedelic rock, orchestral",0.435347084
57,6.936215781,The Four Tops,Baby I Need Your Loving,1964,5096779,3598,222386,66,"soul, pop","soul, pop",0.434686031
52,7.369496097,Jeanne Black,He'll Have To Stay,1960,45318,234,31,8,country,country,0.431287712
6,30.6492728,Dean Martin,Everybody Loves Somebody,1964,9620202,4570,381183,76,traditional pop,traditional pop,0.425264495
9,23.45308318,The Village Stompers,Washington Square,1963,248436,216,811,26,"pop, dixieland jazz, instrumental","pop, dixieland jazz, instrumental",0.423553966
96,4.917008807,Elvis Presley,Are You Lonesome Tonight?,1961,11573507,19546,1736017,83,pop,pop,0.422327139
64,6.425711417,Ben E. King,Spanish Harlem,1961,4059124,1450,126058,70,soul,soul,0.415386737
30,10.59497587,The Beatles,All You Need Is Love,1967,37228030,14112,5042014,89,pop,pop,0.415053017
17,15.41358678,"Peter, Paul and Mary",Blowin' In The Wind,1963,2388954,1386,94676,57,folk,folk,0.413727238
52,7.369496097,The Beatles,Can't Buy Me Love,1964,26066160,14112,5042014,89,pop rock,pop rock,0.412911151
47,7.877989793,The Everly Brothers,Crying In The Rain,1962,3014478,4114,120725,63,rock,rock,0.405330217
1,100,Acker Bilk,Stranger On The Shore,1962,921367,1265,9583,48,easy listening,easy listening,0.404045938
90,5.130975533,Robert Knight,Everlasting Love,1967,294080,389,347,25,soul,soul,0.403228112
17,15.41358678,The Friends Of Distinction,Grazin' In The Grass,1969,1278342,513,7172,38,"pop, r&b, psychedelic soul","pop, r&b, psychedelic soul",0.399033624
13,18.39913422,Tommy James and The Shondells,"Mony, Mony",1968,3641998,1401,43850,56,"rock, pop rock","rock, pop rock",0.391275187
21,13.40711287,Cliff Nobles,The Horse,1968,343717,369,350,26,philadelphia soul,philadelphia soul,0.390550658
56,7.017717833,Simon and Garfunkel,Homeward Bound,1966,13052761,5562,958297,77,folk rock,folk rock,0.379464662
