Title,Artist
"Theme From ""A Summer Place""",Percy Faith
He'll Have To Go,Jim Reeves
Cathy's Clown,The Everly Brothers
Let It Be Me,The Everly Brothers
So Sad,The Everly Brothers
When Will I Be Loved,The Everly Brothers
Walk Right Back,The Everly Brothers
Crying In The Rain,The Everly Brothers
Running Bear,Johnny Preston
Cradle Of Love,Johnny Preston
Teen Angel,Mark Dinning
I'm Sorry,Brenda Lee
Sweet Nothin's,Brenda Lee
I Want To Be Wanted,Brenda Lee
That's All You Gotta Do,Brenda Lee
Dum Dum,Brenda Lee
You Can Depend On Me,Brenda Lee
Break It To Me Gently,Brenda Lee
Everybody Loves Me But You,Brenda Lee
Losing You,Brenda Lee
Too Many Rivers,Brenda Lee
Coming On Strong,Brenda Lee
It's Now Or Never,Elvis Presley
Stuck On You,Elvis Presley
Little Sister,Elvis Presley
Surrender,Elvis Presley
(Marie's The Name) His Latest Flame,Elvis Presley
Are You Lonesome Tonight?,Elvis Presley
Good Luck Charm,Elvis Presley
Can't Help Falling In Love,Elvis Presley
(You're the) Devil in Disguise,Elvis Presley
Bossa Nova Baby,Elvis Presley
Crying in the Chapel,Elvis Presley
Suspicious Minds,Elvis Presley
In The Ghetto,Elvis Presley
Handy Man,Jimmy Jones
Good Timin',Jimmy Jones
The Twist,Chubby Checker
Pony Time,Chubby Checker
The Fly,Chubby Checker
Let's Twist Again,Chubby Checker
The Twist,Chubby Checker
Slow Twistin',Chubby Checker
Everybody's Somebody's Fool,Connie Francis
My Heart Has A Mind Of Its Own,Connie Francis
Mama,Connie Francis
Among My Souvenirs,Connie Francis
Where The Boys Are,Connie Francis
Breakin' In A Brand New Broken Heart,Connie Francis
Don't Break The Heart That Loves You,Connie Francis
Wild One,Bobby Rydell
Volare,Bobby Rydell
Swingin' School,Bobby Rydell
Little Bitty Girl,Bobby Rydell
Good Time Baby,Bobby Rydell
I'll Never Dance Again,Bobby Rydell
Greenfields,Brothers Four
What In The World's Come Over You,Jack Scott
Burning Bridges,Jack Scott
El Paso,Marty Robbins
Don't Worry,Marty Robbins
Alley Oop,Hollywood Argyles
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland
Sealed With A Kiss,Brian Hyland
Only The Lonely,Roy Orbison
Crying,Roy Orbison
Running Scared,Roy Orbison
Dream Baby (How Long Must I Dream),Roy Orbison
Mean Woman Blues,Roy Orbison
In Dreams,Roy Orbison
"Oh, Pretty Woman",Roy Orbison
It's Over,Roy Orbison
Where Or When,Dion and The Belmonts
Sixteen Reasons,Connie Stevens
Puppy Love,Paul Anka
It's Time To Cry,Paul Anka
My Home Town,Paul Anka
"Tonight My Love, Tonight",Paul Anka
Love Me Warm And Tender,Paul Anka
Why,Frankie Avalon
"Walk, Don't Run",The Ventures
"Walk, Don't Run '64",The Ventures
Hawaii Five-O,The Ventures
Save The Last Dance For Me,The Drifters
Please Stay,The Drifters
Up on the Roof,The Drifters
Under the Boardwalk,The Drifters
Baby (You've Got What It Takes),Dinah Washington and Brook Benton
A Rockin' Good Way,Dinah Washington and Brook Benton
Sink The Bismark,Johnny Horton
Chain Gang,Sam Cooke
Wonderful World,Sam Cooke
Twistin' The Night Away,Sam Cooke
Having A Party,Sam Cooke
Little Red Rooster,Sam Cooke
Another Saturday Night,Sam Cooke
Shake,Sam Cooke
Beyond The Sea,Bobby Darin
You Must Have Been A Beautiful Baby,Bobby Darin
Things,Bobby Darin
You're The Reason I'm Living,Bobby Darin
If I Were A Carpenter,Bobby Darin
Go Jimmy Go,Jimmy Clanton
Venus In Blue Jeans,Jimmy Clanton
Night,Jackie Wilson
Doggin' Around,Jackie Wilson
Baby Workout,Jackie Wilson
(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson
The Big Hurt,Toni Fisher
Because They're Young,Duane Eddy
Lonely Blue Boy,Conway Twitty
Pretty Blue Eyes,Steve Lawrence
Footsteps,Steve Lawrence
Portrait Of My Love,Steve Lawrence
Go Away Little Girl,Steve Lawrence
Way Down Yonder In New Orleans,Freddie Cannon
In My Little Corner Of The World,Anita Bryant
Mr. Custer,Larry Verne
Mule Skinner Blues,Fendermen
You've Got What It Takes,Marv Johnson
I Love The Way You Love,Marv Johnson
"Please Help Me, I'm Falling",Hank Locklin
Love You So,Ron Holden
Finger Poppin' Time,Hank Ballard and The Midnighters
Harbor Lights,Platters
Let The Little Girl Dance,Billy Bland
He'll Have To Stay,Jeanne Black
Theme From The Apartment,Ferrante and Teicher
Exodus,Ferrante and Teicher
A Million To One,Jimmy Charles
The Village Of St. Bernadette,Andy Williams
Can't Get Used To Losing You,Andy Williams
A Fool Never Learns,Andy Williams
The Old Lamplighter,The Browns
White Silver Sands,Bill Black's Combo
Devil Or Angel,Bobby Vee
Take Good Care Of My Baby,Bobby Vee
Rubber Ball,Bobby Vee
The Night Has a Thousand Eyes,Bobby Vee
Down By The Station,The Four Preps
More Money For You And Me,The Four Preps
Forever,The Little Dippers
Image Of A Girl,The Safaris
Kiddio,Brook Benton
The Boll Weevil Song,Brook Benton
Think Twice,Brook Benton
Mission Bell,Donnie Brooks
Tell Laura I Love Her,Ray Peterson
Missing You,Ray Peterson
Walking To New Orleans,Fats Domino
Let The Four Winds Blow,Fats Domino
Stairway To Heaven,Neil Sedaka
Calendar Girl,Neil Sedaka
Breaking Up Is Hard To Do,Neil Sedaka
Georgia On My Mind,Ray Charles
Hit The Road Jack,Ray Charles
One Mint Julep,Ray Charles
You Don't Know Me,Ray Charles
Here We Go Again,Ray Charles
Cherry Pie,Skip and Flip
Lady Luck,Lloyd Price
Step By Step,The Crests
Happy-Go-Lucky Me,Paul Evans
Young Emotions,Ricky Nelson
Travelin' Man,Ricky Nelson
Hello Mary Lou,Ricky Nelson
Young World,Ricky Nelson
Teen Age Idol,Ricky Nelson
Fools Rush In,Ricky Nelson
For You,Ricky Nelson
Dreamin',Johnny Burnette
Poetry In Motion,Johnny Tillotson
Without You,Johnny Tillotson
It Keeps Right On a-Hurtin',Johnny Tillotson
O Dio Mio,Annette Funicello
You Talk Too Much,Joe Jones
Beatnik Fly,Johnny and The Hurricanes
Let's Think About Livin',Bob Luman
Heartaches By The Number,Guy Mitchell
Money,Barrett Strong
Stay,Maurice Williams and the Zodiacs
Lonely Weekends,Charlie Rich
Sandy,Larry Hall
Tossin' And Turnin',Bobby Lewis
One Track Mind,Bobby Lewis
I Fall To Pieces,Patsy Cline
She's Got You,Patsy Cline
Michael,The Highwaymen
Cotton Fields,The Highwaymen
Runaway,Del Shannon
Hats Off To Larry,Del Shannon
Little Town Flirt,Del Shannon
Keep Searchin' (We'll Follow the Sun),Del Shannon
My True Story,The Jive Five
Wheels,The String-A-Longs
Raindrops,Dee Clark
Wooden Heart,Joe Dowell
Calcutta,Lawrence Welk
Dedicated To The One I Love,The Shirelles
Will You Love Me Tomorrow,The Shirelles
Mama Said,The Shirelles
Soldier Boy,The Shirelles
Baby It's You,The Shirelles
Foolish Little Girl,The Shirelles
Last Night,The Mar-Keys
Sad Movies (Make Me Cry),Sue Thompson
Norman,Sue Thompson
Mother-In-Law,Ernie K-Doe
Bristol Stomp,The Dovells
You Can't Sit Down,The Dovells
Shop Around,The Miracles
You've Really Got a Hold on Me,The Miracles
Mickey's Monkey,The Miracles
The Tracks of My Tears,The Miracles
Ooo Baby Baby,The Miracles
A Hundred Pounds Of Clay,Gene Mcdaniels
The Mountain's High,Dick and Dee Dee
Tell Me,Dick and Dee Dee
On The Rebound,Floyd Cramer
San Antonio Rose,Floyd Cramer
Quarter To Three,Gary U.S. Bonds
School Is Out,Gary U.S. Bonds
Dear Lady Twist,Gary U.S. Bonds
"Twist, Twist Senora",Gary U.S. Bonds
"Who Put The Bomp (In The Bomp, Bomp, Bomp)",Barry Mann
I Like It Like That,Chris Kenner
Apache,Jorgen Ingmann
Don't Bet Money Honey,Linda Scott
I've Told Every Little Star,Linda Scott
Wings Of A Dove,Ferlin Husky
Blue Moon,Marcels
Daddy's Home,Shep and The Limelites
This Time,Troy Shondell
(I Don't Know Why) But I Do,"Clarence ""Frogman"" Henry"
Asia Minor,Kokomo
Hello Walls,Faron Young
Runaround Sue,Dion
The Wanderer,Dion
Lovers Who Wander,Dion
Little Diane,Dion
Ruby Baby,Dion
Donna the Prima Donna,Dion
Yellow Bird,Arthur Lyman
Hurt,Timi Yuro
There's A Moon Out Tonight,The Capris
I Love How You Love Me,The Paris Sisters
Ya Ya,Lee Dorsey
Working In The Coal Mine,Lee Dorsey
Mexico,Bob Moore
You Don't Know What You've Got (Until You Lose It),Ral Donner
The Way You Look Tonight,The Lettermen
Goin' Out Of My Head / Can't Take My Eyes Off You,The Lettermen
Hurt So Bad,The Lettermen
Moody River,Pat Boone
Speedy Gonzales,Pat Boone
Take Good Care Of Her,Adam Wade
The Writing On The Wall,Adam Wade
Gee Whiz (Look At His Eyes),Carla Thomas
B-A-B-Y,Carla Thomas
Stand By Me,Ben E. King
Spanish Harlem,Ben E. King
It's Gonna Work Out Fine,Ike and Tina Turner
Baby Blue,The Echoes
Baby Sittin' Boogie,Buzz Clifford
Those Oldies But Goodies,Little Caesar and The Romans
Wonderland By Night,Bert Kaempfert
Red Roses for a Blue Lady,Bert Kaempfert
Bless You,Tony Orlando
Angel Baby,Rosie and The Originals
Pretty Little Angel Eyes,Curtis Lee
Does Your Chewing Gum Lose Its Flavour (On The Bedpost Overnight),Lonnie Donegan
My Kind Of Girl,Matt Monro
Big Bad John,Jimmy Dean
P.T. 109,Jimmy Dean
I'm Gonna Knock On Your Door,Eddie Hodges
"(Girls, Girls, Girls) Made To Love",Eddie Hodges
Take Five,Dave Brubeck
Sea Of Heartbreak,Don Gibson
Stranger On The Shore,Acker Bilk
Mashed Potato Time,Dee Dee Sharp
Gravy (For My Mashed Potatoes),Dee Dee Sharp
Do the Bird,Dee Dee Sharp
Roses Are Red (My Love),Bobby Vinton
Blue Velvet,Bobby Vinton
Blue on Blue,Bobby Vinton
There! I've Said It Again,Bobby Vinton
Please Love Me Forever,Bobby Vinton
The Stripper,David Rose
Johnny Angel,Shelley Fabares
The Loco-Motion,Little Eva
Let Me In,The Sensations
Hey! Baby,Bruce Channel
Duke Of Earl,Gene Chandler
Palisades Park,Freddy Cannon
Wolverton Mountain,Claude King
The One Who Really Loves You,Mary Wells
You Beat Me To The Punch,Mary Wells
My Guy,Mary Wells
Midnight In Moscow,Kenny Ball
Sheila,Tommy Roe
Everybody,Tommy Roe
Hooray for Hazel,Tommy Roe
Sweet Pea,Tommy Roe
Dizzy,Tommy Roe
The Wah-Watusi,The Orlons
South Street,The Orlons
Peppermint Twist,Joey Dee and The Starliters
Shout,Joey Dee and The Starliters
Playboy,The Marvelettes
Ramblin' Rose,Nat King Cole
Those Lazy-Hazy-Crazy Days of Summer,Nat King Cole
"That Sunday, That Summer",Nat King Cole
She Cried,Jay and The Americans
Come a Little Bit Closer,Jay and The Americans
Cara Mia,Jay and The Americans
This Magic Moment,Jay and The Americans
Love Letters,Ketty Lester
Party Lights,Claudine Clark
Alley Cat,Bent Fabric
Twist And Shout,The Isley Brothers
It's Your Thing,The Isley Brothers
Theme From Dr. Kildare,Richard Chamberlain
Tuff,Ace Cannon
Lover Please,Clyde McPhatter
I Know (You Don't Love Me No More),Barbara George
A Little Bitty Tear,Burl Ives
Funny Way Of Laughin',Burl Ives
Al Di La,Emilio Pericoli
Shout! Shout! (Knock Yourself Out),Ernie Maresca
What's Your Name,Don and Juan
Smoky Places,The Corsairs
Green Onions,Booker T. and The M.G.'s
Groovin',Booker T. and The M.G.'s
Time Is Tight,Booker T. and The M.G.'s
Hang 'Em High,Booker T. and The M.G.'s
Sherry,Frankie Valli and The Four Seasons
Walk Like A Man,Frankie Valli and The Four Seasons
Johnny Get Angry,Joanie Sommers
Rinky Dink,"Dave ""Baby"" Cortez"
Moon River,Henry Mancini
Days Of Wine and Roses,Henry Mancini
Ahab The Arab,Ray Stevens
Gitarzan,Ray Stevens
(The Man Who Shot) Liberty Valance,Gene Pitney
Town Without Pity,Gene Pitney
It Hurts to Be in Love,Gene Pitney
Snap Your Fingers,Joe Henderson
Let's Dance,Chris Montez
The More I See You,Chris Montez
Cindy's Birthday,Johnny Crawford
You'll Lose A Good Thing,Barbara Lynn
Uptown,The Crystals
Da Doo Ron Ron,The Crystals
Then He Kissed Me,The Crystals
Patches,Dickey Lee
Laurie (Strange Things Happen),Dickey Lee
Dear One,Larry Finnegan
Her Royal Majesty,James Darren
Old Rivers,Walter Brennan
A Swingin' Safari,Billy Vaughn
Percolator (Twist),Billy Joe and The Checkmates
Twistin' Matilda,Jimmy Soul
If You Wanna Be HappyIf You Wanna Be Happy,Jimmy Soul
Walk On The Wild Side,Jimmy Smith
Soul Twist,King Curtis
I'm Blue (The Gong-Gong Song),The Ikettes
Where Have All The Flowers Gone?,The Kingston Trio
If I Had A Hammer,"Peter, Paul and Mary"
"Puff, The Magic Dragon","Peter, Paul and Mary"
Blowin' In The Wind,"Peter, Paul and Mary"
I Dig Rock And Roll Music,"Peter, Paul and Mary"
I Wish That We Were Married,Ronnie and The Hi-lites
Surfin' Safari,The Beach Boys
Surfin' U.S.A.,The Beach Boys
Surfer Girl,The Beach Boys
Shut Down,The Beach Boys
I Get Around,The Beach Boys
"Help Me, Rhonda",The Beach Boys
California Girls,The Beach Boys
Good Vibrations,The Beach Boys
Sloop John B,The Beach Boys
Barbara Ann,The Beach Boys
Sugar Shack,Jimmy Gilmer and The Fireballs
The End Of The World,Skeeter Davis
I Can't Stay Mad at You,Skeeter Davis
Rhythm Of The Rain,The Cascades
He's So Fine,The Chiffons
One Fine Day,The Chiffons
Hey Paula,Paul and Paula
Fingertips,Stevie Wonder
Uptight (Everything's Alright),Stevie Wonder
I Was Made To Love Her,Stevie Wonder
Shoo-Bee-Doo-Be-Doo-Da-Day,Stevie Wonder
My Cherie Amour,Stevie Wonder
Washington Square,The Village Stompers
It's All Right,The Impressions
Keep On Pushing,The Impressions
I'm So Proud,The Impressions
My Boyfriend's Back,The Angels
Sukiyaki,Kyu Sakamoto
She's A Fool,Lesley Gore
It's My Party,Lesley Gore
Judy's Turn to Cry,Lesley Gore
You Don't Own Me,Lesley Gore
California Nights,Lesley Gore
So Much In Love,The Tymes
I'm Leaving It Up To You,Dale and Grace
Deep Purple,Nino Tempo and April Stevens
Wipe Out,The Surfaris
Wipe Out,The Surfaris
I Love You Because,Al Martino
"Painted, Tainted Rose",Al Martino
I Love You More and More Every Day,Al Martino
Wild Weekend,The Rockin' Rebels
Mockingbird,Inez and Charlie Foxx
I Will Follow Him,Little Peggy March
Pipeline,The Chantays
Surf City,Jan and Dean
Dead Man's Curve,Jan and Dean
The Little Old Lady from Pasadena,Jan and Dean
Blame It On The Bossa Nova,Eydie Gorme
Heat Wave,Martha and The Vandellas
Come and Get These Memories,Martha and The Vandellas
Dancing in the Street,Martha and The Vandellas
Nowhere to Run,Martha and The Vandellas
Jimmy Mack,Martha and The Vandellas
Denise,Randy and The Rainbows
Walk Right In,The Rooftop Singers
If I Had A Hammer,Trini Lopez
Easier Said Than Done,The Essex
Maria Elena,Los Indios Tabajaras
Our Day Will Come,Ruby And The Romantics
Hello Stranger,Barbara Lewis
Baby I'm Yours,Barbara Lewis
Be My Baby,The Ronettes
The Monkey Time,Major Lance
"Um, Um, Um, Um, Um, Um",Major Lance
Candy Girl,The Four Seasons
Rag Doll,The Four Seasons
Dawn (Go Away),The Four Seasons
Ronnie,The Four Seasons
Still,Bill Anderson
Cry Baby,Garnet Mimms and the Enchanters
Two Faces Have I,Lou Christie
Lightnin' Strikes,Lou Christie
I'm Gonna Make You Mine,Lou Christie
"Memphis, Tennessee",Lonnie Mack
More,Kai Winding
Our Winter Love,Bill Pursell
I Wanna Be Around,Tony Bennett
Sally Go 'Round the Roses,The Jaynetts
Pride and Joy,Marvin Gaye
I'll Be Doggone,Marvin Gaye
How Sweet It Is (To Be Loved by You),Marvin Gaye
Too Busy Thinking About My Baby,Marvin Gaye
That's The Way Love Is,Marvin Gaye
I Heard It Through The Grapevine,Marvin Gaye
Walking the Dog,Rufus Thomas
From a Jack to a King,Ned Miller
What Will My Mary Say,Johnny Mathis
Mama Didn't Lie,Jan Bradley
Don't Say Nothin' Bad (About My Baby),The Cookies
Ring of Fire,Johnny Cash
A Boy Named Sue,Johnny Cash
Just One Look,Doris Troy
"Hello Muddah, Hello Faddah! (A Letter from Camp)",Allan Sherman
"Tie Me Kangaroo Down, Sport",Rolf Harris
Talk to Me,Sunny and the Sunglows
500 Miles,Bobby Bare
I Want to Hold Your Hand,The Beatles
She Loves You,The Beatles
A Hard Day's Night,The Beatles
Love Me Do,The Beatles
Please Please Me,The Beatles
Twist and Shout,The Beatles
Can't Buy Me Love,The Beatles
Do You Want to Know a Secret,The Beatles
I Saw Her Standing There,The Beatles
Help!,The Beatles
Ticket to Ride,The Beatles
Eight Days a Week,The Beatles
We Can Work It Out,The Beatles
Paperback Writer,The Beatles
Nowhere Man,The Beatles
Yellow Submarine,The Beatles
All You Need Is Love,The Beatles
Penny Lane,The Beatles
Hey Jude,The Beatles
Lady Madonna,The Beatles
Revolution,The Beatles
Something,The Beatles
Come Together,The Beatles
"Hello, Dolly!",Louis Armstrong
Everybody Loves Somebody,Dean Martin
The Door Is Still Open to My Heart,Dean Martin
We'll Sing in the Sunshine,Gale Garnett
Last Kiss,J. Frank Wilson and the Cavaliers
Where Did Our Love Go,The Supremes
Baby Love,The Supremes
Stop! In the Name of Love,The Supremes
Back in My Arms Again,The Supremes
You Can't Hurry Love,The Supremes
You Keep Me Hangin' On,The Supremes
My World Is Empty Without You,The Supremes
Love Is Here And Now You're Gone,The Supremes
The Happening,The Supremes
Reflections,The Supremes
Love Child,The Supremes
People,Barbra Streisand
Java,Al Hirt
Cotton Candy,Al Hirt
Do Wah Diddy Diddy,Manfred Mann
The Mighty Quinn,Manfred Mann
Little Children,Billy J. Kramer and The Dakotas
Bad to Me,Billy J. Kramer and The Dakotas
Love Me with All Your Heart (Cuando Calienta El Sol),The Ray Charles Singers
Chapel of Love,The Dixie Cups
Suspicion,Terry Stafford
Because,The Dave Clark Five
Can't You See That She's Mine,The Dave Clark Five
Do You Love Me,The Dave Clark Five
Bread and Butter,The Newbeats
