Artist,Title,URL
Percy Faith,"Theme From ""A Summer Place""",https://en.wikipedia.org/wiki/Theme_from_A_Summer_Place
Jim Reeves,He'll Have To Go,https://en.wikipedia.org/wiki/He%27ll_Have_to_Go
The Everly Brothers,Cathy's Clown,https://en.wikipedia.org/wiki/Cathy%27s_Clown
The Everly Brothers,Let It Be Me,https://en.wikipedia.org/wiki/Let_It_Be_Me_(The_Everly_Brothers_song)
The Everly Brothers,So Sad,https://en.wikipedia.org/wiki/So_Sad
The Everly Brothers,When Will I Be Loved,https://en.wikipedia.org/wiki/When_Will_I_Be_Loved_(song)
The Everly Brothers,Walk Right Back,https://en.wikipedia.org/wiki/Walk_Right_Back
The Everly Brothers,Crying In The Rain,https://en.wikipedia.org/wiki/Crying_in_the_Rain
Johnny Preston,Running Bear,https://en.wikipedia.org/wiki/Running_Bear
Johnny Preston,Cradle Of Love,https://en.wikipedia.org/wiki/Cradle_of_Love_(Johnny_Preston_song)
Mark Dinning,Teen Angel,https://en.wikipedia.org/wiki/Teen_Angel_(song)
Brenda Lee,I'm Sorry,https://en.wikipedia.org/wiki/I%27m_Sorry_(Brenda_Lee_song)
Brenda Lee,Sweet Nothin's,https://en.wikipedia.org/wiki/Sweet_Nothin%27s
Brenda Lee,I Want To Be Wanted,https://en.wikipedia.org/wiki/I_Want_to_Be_Wanted
Brenda Lee,That's All You Gotta Do,https://en.wikipedia.org/wiki/That%27s_All_You_Gotta_Do
Brenda Lee,Dum Dum,https://en.wikipedia.org/wiki/Dum_Dum_(Brenda_Lee_song)
Brenda Lee,You Can Depend On Me,https://en.wikipedia.org/wiki/You_Can_Depend_on_Me_(song)
Brenda Lee,Break It To Me Gently,https://en.wikipedia.org/wiki/Break_It_to_Me_Gently
Brenda Lee,Everybody Loves Me But You,https://en.wikipedia.org/wiki/Everybody_Loves_Me_But_You
Brenda Lee,Losing You,https://en.wikipedia.org/wiki/Losing_You_(Brenda_Lee_song)
Brenda Lee,Too Many Rivers,https://en.wikipedia.org/wiki/Too_Many_Rivers
Brenda Lee,Coming On Strong,https://en.wikipedia.org/wiki/Coming_On_Strong_(song)
Elvis Presley,It's Now Or Never,https://en.wikipedia.org/wiki/It%27s_Now_or_Never_(song)
Elvis Presley,Stuck On You,https://en.wikipedia.org/wiki/Stuck_on_You_(Elvis_Presley_song)
Elvis Presley,Little Sister,https://en.wikipedia.org/wiki/Little_Sister_(Elvis_Presley_song)
Elvis Presley,Surrender,https://en.wikipedia.org/wiki/Surrender_(Elvis_Presley_song)
Elvis Presley,(Marie's The Name) His Latest Flame,https://en.wikipedia.org/wiki/(Marie%27s_the_Name)_His_Latest_Flame
Elvis Presley,Are You Lonesome Tonight?,https://en.wikipedia.org/wiki/Are_You_Lonesome_Tonight%3F_(song)
Elvis Presley,Good Luck Charm,https://en.wikipedia.org/wiki/Pot_Luck_(Elvis_Presley_album)
Elvis Presley,Can't Help Falling In Love,https://en.wikipedia.org/wiki/Can%27t_Help_Falling_in_Love
Elvis Presley,(You're the) Devil in Disguise,https://en.wikipedia.org/wiki/(You%27re_the)_Devil_in_Disguise
Elvis Presley,Bossa Nova Baby,https://en.wikipedia.org/wiki/Bossa_Nova_Baby
Elvis Presley,Crying in the Chapel,https://en.wikipedia.org/wiki/Crying_in_the_Chapel
Elvis Presley,Suspicious Minds,https://en.wikipedia.org/wiki/Suspicious_Minds
Elvis Presley,In The Ghetto,https://en.wikipedia.org/wiki/In_the_Ghetto
Jimmy Jones,Handy Man,https://en.wikipedia.org/wiki/Handy_Man_(song)
Jimmy Jones,Good Timin',https://en.wikipedia.org/wiki/Jimmy_Jones_(singer)
Chubby Checker,The Twist,https://en.wikipedia.org/wiki/The_Twist_(song)
Chubby Checker,Pony Time,https://en.wikipedia.org/wiki/Pony_Time
Chubby Checker,The Fly,
Chubby Checker,Let's Twist Again,https://en.wikipedia.org/wiki/Let%27s_Twist_Again
Chubby Checker,The Twist,https://en.wikipedia.org/wiki/The_Twist_(song)
Chubby Checker,Slow Twistin',https://en.wikipedia.org/wiki/Slow_Twistin%27
Connie Francis,Everybody's Somebody's Fool,https://en.wikipedia.org/wiki/Everybody%27s_Somebody%27s_Fool
Connie Francis,My Heart Has A Mind Of Its Own,https://en.wikipedia.org/wiki/My_Heart_Has_a_Mind_of_Its_Own
Connie Francis,Mama,https://en.wikipedia.org/wiki/Mamma_(song)
Connie Francis,Among My Souvenirs,https://en.wikipedia.org/wiki/Among_My_Souvenirs
Connie Francis,Where The Boys Are,https://en.wikipedia.org/wiki/Where_the_Boys_Are_(Connie_Francis_song)
Connie Francis,Breakin' In A Brand New Broken Heart,https://en.wikipedia.org/wiki/Breakin%27_in_a_Brand_New_Broken_Heart
Connie Francis,Don't Break The Heart That Loves You,https://en.wikipedia.org/wiki/Don%27t_Break_the_Heart_That_Loves_You
Bobby Rydell,Wild One,https://en.wikipedia.org/wiki/Wild_One_(Bobby_Rydell_song)
Bobby Rydell,Volare,https://en.wikipedia.org/wiki/Volare_(song)
Bobby Rydell,Swingin' School,https://en.wikipedia.org/wiki/Swingin%27_School
Bobby Rydell,Little Bitty Girl,https://en.wikipedia.org/wiki/Little_Bitty_Girl
Bobby Rydell,Good Time Baby,https://en.wikipedia.org/wiki/Good_Time_Baby
Bobby Rydell,I'll Never Dance Again,https://en.wikipedia.org/wiki/I%27ll_Never_Dance_Again
Brothers Four,Greenfields,
Jack Scott,What In The World's Come Over You,https://en.wikipedia.org/wiki/Jack_Scott_(singer)
Jack Scott,Burning Bridges,
Marty Robbins,El Paso,https://en.wikipedia.org/wiki/El_Paso_(song)
Marty Robbins,Don't Worry,https://en.wikipedia.org/wiki/Don%27t_Worry_(Marty_Robbins_song)
Hollywood Argyles,Alley Oop,https://en.wikipedia.org/wiki/Alley_Oop
Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,https://en.wikipedia.org/wiki/Itsy_Bitsy_Teenie_Weenie_Yellow_Polkadot_Bikini
Brian Hyland,Sealed With A Kiss,https://en.wikipedia.org/wiki/Sealed_with_a_Kiss
Roy Orbison,Only The Lonely,https://en.wikipedia.org/wiki/Only_the_Lonely
Roy Orbison,Crying,https://en.wikipedia.org/wiki/Crying_(Roy_Orbison_song)
Roy Orbison,Running Scared,https://en.wikipedia.org/wiki/Running_Scared_(Roy_Orbison_song)
Roy Orbison,Dream Baby (How Long Must I Dream),https://en.wikipedia.org/wiki/Dream_Baby_(How_Long_Must_I_Dream)
Roy Orbison,Mean Woman Blues,https://en.wikipedia.org/wiki/Mean_Woman_Blues
Roy Orbison,In Dreams,https://en.wikipedia.org/wiki/In_Dreams_(Roy_Orbison_album)
Roy Orbison,"Oh, Pretty Woman","https://en.wikipedia.org/wiki/Oh,_Pretty_Woman"
Roy Orbison,It's Over,https://en.wikipedia.org/wiki/It%27s_Over_(Roy_Orbison_song)
Dion and The Belmonts,Where Or When,https://en.wikipedia.org/wiki/Where_or_When
Connie Stevens,Sixteen Reasons,https://en.wikipedia.org/wiki/Sixteen_Reasons
Paul Anka,Puppy Love,https://en.wikipedia.org/wiki/Puppy_Love_(Paul_Anka_song)
Paul Anka,It's Time To Cry,
Paul Anka,My Home Town,
Paul Anka,"Tonight My Love, Tonight",
Paul Anka,Love Me Warm And Tender,
Frankie Avalon,Why,https://en.wikipedia.org/wiki/Why_(Frankie_Avalon_song)
The Ventures,"Walk, Don't Run","https://en.wikipedia.org/wiki/Walk,_Don%27t_Run_(instrumental)"
The Ventures,"Walk, Don't Run '64","https://en.wikipedia.org/wiki/Walk,_Don%27t_Run_(instrumental)"
The Ventures,Hawaii Five-O,
The Drifters,Save The Last Dance For Me,https://en.wikipedia.org/wiki/Save_the_Last_Dance_for_Me
The Drifters,Please Stay,https://en.wikipedia.org/wiki/Please_Stay_(Burt_Bacharach_song)
The Drifters,Up on the Roof,https://en.wikipedia.org/wiki/Up_on_the_Roof_(song)
The Drifters,Under the Boardwalk,https://en.wikipedia.org/wiki/Under_the_Boardwalk
Dinah Washington and Brook Benton,Baby (You've Got What It Takes),https://en.wikipedia.org/wiki/Baby_(You%27ve_Got_What_It_Takes)
Dinah Washington and Brook Benton,A Rockin' Good Way,https://en.wikipedia.org/wiki/Dinah_Washington
Johnny Horton,Sink The Bismark,https://en.wikipedia.org/wiki/Sink_the_Bismark
Sam Cooke,Chain Gang,https://en.wikipedia.org/wiki/Chain_Gang_(song)
Sam Cooke,Wonderful World,https://en.wikipedia.org/wiki/The_Wonderful_World_of_Sam_Cooke
Sam Cooke,Twistin' The Night Away,https://en.wikipedia.org/wiki/Twistin%27_the_Night_Away
Sam Cooke,Having A Party,https://en.wikipedia.org/wiki/Having_a_Party_(song)
Sam Cooke,Little Red Rooster,https://en.wikipedia.org/wiki/Little_Red_Rooster
Sam Cooke,Another Saturday Night,https://en.wikipedia.org/wiki/Another_Saturday_Night
Sam Cooke,Shake,https://en.wikipedia.org/wiki/Shake_(Sam_Cooke_song)
Bobby Darin,Beyond The Sea,https://en.wikipedia.org/wiki/Beyond_the_Sea_(film)
Bobby Darin,You Must Have Been A Beautiful Baby,https://en.wikipedia.org/wiki/You_Must_Have_Been_a_Beautiful_Baby
Bobby Darin,Things,https://en.wikipedia.org/wiki/Things_(Bobby_Darin_song)
Bobby Darin,You're The Reason I'm Living,https://en.wikipedia.org/wiki/You%27re_the_Reason_I%27m_Living
Bobby Darin,If I Were A Carpenter,https://en.wikipedia.org/wiki/If_I_Were_a_Carpenter_(Bobby_Darin_album)
Jimmy Clanton,Go Jimmy Go,https://en.wikipedia.org/wiki/Go_Jimmy_Go
Jimmy Clanton,Venus In Blue Jeans,https://en.wikipedia.org/wiki/Venus_in_Blue_Jeans
Jackie Wilson,Night,https://en.wikipedia.org/wiki/Night_(Jackie_Wilson_song)
Jackie Wilson,Doggin' Around,https://en.wikipedia.org/wiki/Doggin%27_Around
Jackie Wilson,Baby Workout,https://en.wikipedia.org/wiki/Baby_Workout
Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,https://en.wikipedia.org/wiki/(Your_Love_Keeps_Lifting_Me)_Higher_and_Higher
Toni Fisher,The Big Hurt,https://en.wikipedia.org/wiki/The_Big_Hurt_(song)
Duane Eddy,Because They're Young,https://en.wikipedia.org/wiki/Because_They%27re_Young
Conway Twitty,Lonely Blue Boy,https://en.wikipedia.org/wiki/Lonely_Blue_Boy
Steve Lawrence,Pretty Blue Eyes,https://en.wikipedia.org/wiki/Pretty_Blue_Eyes
Steve Lawrence,Footsteps,https://en.wikipedia.org/wiki/Footsteps_(Steve_Lawrence_song)
Steve Lawrence,Portrait Of My Love,https://en.wikipedia.org/wiki/Portrait_of_My_Love
Steve Lawrence,Go Away Little Girl,https://en.wikipedia.org/wiki/Go_Away_Little_Girl
Freddie Cannon,Way Down Yonder In New Orleans,https://en.wikipedia.org/wiki/Way_Down_Yonder_in_New_Orleans
Anita Bryant,In My Little Corner Of The World,https://en.wikipedia.org/wiki/My_Little_Corner_of_the_World
Larry Verne,Mr. Custer,https://en.wikipedia.org/wiki/Mr._Custer
Fendermen,Mule Skinner Blues,https://en.wikipedia.org/wiki/Mule_Skinner_Blues
Marv Johnson,You've Got What It Takes,https://en.wikipedia.org/wiki/You_Got_What_It_Takes
Marv Johnson,I Love The Way You Love,https://en.wikipedia.org/wiki/Love_the_Way_You_Lie
Hank Locklin,"Please Help Me, I'm Falling","https://en.wikipedia.org/wiki/Please_Help_Me,_I%27m_Falling"
Ron Holden,Love You So,https://en.wikipedia.org/wiki/Love_You_So
Hank Ballard and The Midnighters,Finger Poppin' Time,
Platters,Harbor Lights,https://en.wikipedia.org/wiki/Harbor_Lights
Billy Bland,Let The Little Girl Dance,https://en.wikipedia.org/wiki/The_Little_Match_Girl
Jeanne Black,He'll Have To Stay,https://en.wikipedia.org/wiki/He%27ll_Have_to_Stay
Ferrante and Teicher,Theme From The Apartment,https://en.wikipedia.org/wiki/Ferrante_%26_Teicher
Ferrante and Teicher,Exodus,https://en.wikipedia.org/wiki/Exodus_(soundtrack)
Jimmy Charles,A Million To One,https://en.wikipedia.org/wiki/A_Million_to_One
Andy Williams,The Village Of St. Bernadette,https://en.wikipedia.org/wiki/The_Village_of_St._Bernadette
Andy Williams,Can't Get Used To Losing You,https://en.wikipedia.org/wiki/Can%27t_Get_Used_to_Losing_You
Andy Williams,A Fool Never Learns,https://en.wikipedia.org/wiki/A_Fool_Never_Learns
The Browns,The Old Lamplighter,https://en.wikipedia.org/wiki/The_Old_Lamp-Lighter
Bill Black's Combo,White Silver Sands,https://en.wikipedia.org/wiki/White_Silver_Sands
Bobby Vee,Devil Or Angel,https://en.wikipedia.org/wiki/Devil_or_Angel
Bobby Vee,Take Good Care Of My Baby,https://en.wikipedia.org/wiki/Take_Good_Care_of_My_Baby
Bobby Vee,Rubber Ball,https://en.wikipedia.org/wiki/Bouncy_ball
Bobby Vee,The Night Has a Thousand Eyes,https://en.wikipedia.org/wiki/The_Night_Has_a_Thousand_Eyes_(song)
The Four Preps,Down By The Station,https://en.wikipedia.org/wiki/Down_by_the_Station
The Four Preps,More Money For You And Me,https://en.wikipedia.org/wiki/Catch_Me_If_You_Can
The Little Dippers,Forever,https://en.wikipedia.org/wiki/Forever_(The_Little_Dippers_song)
The Safaris,Image Of A Girl,
Brook Benton,Kiddio,https://en.wikipedia.org/wiki/Kiddio
Brook Benton,The Boll Weevil Song,https://en.wikipedia.org/wiki/Boll_Weevil_(song)
Brook Benton,Think Twice,https://en.wikipedia.org/wiki/Think_Twice_(Brook_Benton_song)
Donnie Brooks,Mission Bell,
Ray Peterson,Tell Laura I Love Her,https://en.wikipedia.org/wiki/Tell_Laura_I_Love_Her
Ray Peterson,Missing You,
Fats Domino,Walking To New Orleans,https://en.wikipedia.org/wiki/Fats_Domino
Fats Domino,Let The Four Winds Blow,
Neil Sedaka,Stairway To Heaven,https://en.wikipedia.org/wiki/Stairway_to_Heaven_(Neil_Sedaka_song)
Neil Sedaka,Calendar Girl,https://en.wikipedia.org/wiki/Calendar_Girl_(song)
Neil Sedaka,Breaking Up Is Hard To Do,https://en.wikipedia.org/wiki/Breaking_Up_Is_Hard_to_Do
Ray Charles,Georgia On My Mind,https://en.wikipedia.org/wiki/Georgia_on_My_Mind
Ray Charles,Hit The Road Jack,https://en.wikipedia.org/wiki/Hit_the_Road_Jack
Ray Charles,One Mint Julep,https://en.wikipedia.org/wiki/One_Mint_Julep
Ray Charles,You Don't Know Me,https://en.wikipedia.org/wiki/You_Don%27t_Know_Me_(Eddy_Arnold_song)
Ray Charles,Here We Go Again,https://en.wikipedia.org/wiki/Here_We_Go_Again_(Ray_Charles_song)
Skip and Flip,Cherry Pie,https://en.wikipedia.org/wiki/Cherry_Pie_(Joe_Josea_song)
Lloyd Price,Lady Luck,
The Crests,Step By Step,
Paul Evans,Happy-Go-Lucky Me,https://en.wikipedia.org/wiki/Mr._Happy_Go_Lucky
Ricky Nelson,Young Emotions,https://en.wikipedia.org/wiki/Young_Emotions
Ricky Nelson,Travelin' Man,https://en.wikipedia.org/wiki/Travelin%27_Man
Ricky Nelson,Hello Mary Lou,https://en.wikipedia.org/wiki/Hello_Mary_Lou
Ricky Nelson,Young World,https://en.wikipedia.org/wiki/Young_World
Ricky Nelson,Teen Age Idol,https://en.wikipedia.org/wiki/Teen_idol
Ricky Nelson,Fools Rush In,https://en.wikipedia.org/wiki/Fools_Rush_In_(Where_Angels_Fear_to_Tread)
Ricky Nelson,For You,https://en.wikipedia.org/wiki/For_You_(Ricky_Nelson_song)
Johnny Burnette,Dreamin',https://en.wikipedia.org/wiki/Dreamin%27_(Johnny_Burnette_song)
Johnny Tillotson,Poetry In Motion,https://en.wikipedia.org/wiki/Poetry_in_Motion_(song)
Johnny Tillotson,Without You,
Johnny Tillotson,It Keeps Right On a-Hurtin',https://en.wikipedia.org/wiki/It_Keeps_Right_On_a-Hurtin%27
Annette Funicello,O Dio Mio,
Joe Jones,You Talk Too Much,https://en.wikipedia.org/wiki/You_Talk_Too_Much
Johnny and The Hurricanes,Beatnik Fly,
Bob Luman,Let's Think About Livin',https://en.wikipedia.org/wiki/Let%27s_Think_About_Living
Guy Mitchell,Heartaches By The Number,https://en.wikipedia.org/wiki/Heartaches_by_the_Number
Barrett Strong,Money,https://en.wikipedia.org/wiki/Money_(That%27s_What_I_Want)
Maurice Williams and the Zodiacs,Stay,https://en.wikipedia.org/wiki/Stay_(Maurice_Williams_song)
Charlie Rich,Lonely Weekends,
Larry Hall,Sandy,
Bobby Lewis,Tossin' And Turnin',https://en.wikipedia.org/wiki/Tossin%27_and_Turnin%27
Bobby Lewis,One Track Mind,
Patsy Cline,I Fall To Pieces,https://en.wikipedia.org/wiki/I_Fall_to_Pieces
Patsy Cline,She's Got You,https://en.wikipedia.org/wiki/She%27s_Got_You
The Highwaymen,Michael,
The Highwaymen,Cotton Fields,https://en.wikipedia.org/wiki/Cotton_Fields
Del Shannon,Runaway,https://en.wikipedia.org/wiki/Runaway_(Del_Shannon_song)
Del Shannon,Hats Off To Larry,https://en.wikipedia.org/wiki/Hats_Off_to_Larry
Del Shannon,Little Town Flirt,https://en.wikipedia.org/wiki/Little_Town_Flirt
Del Shannon,Keep Searchin' (We'll Follow the Sun),https://en.wikipedia.org/wiki/Keep_Searchin%27_(We%27ll_Follow_the_Sun)
The Jive Five,My True Story,https://en.wikipedia.org/wiki/My_True_Story
The String-A-Longs,Wheels,https://en.wikipedia.org/wiki/Wheels_(The_String-A-Longs_song)
Dee Clark,Raindrops,https://en.wikipedia.org/wiki/Raindrops_(Dee_Clark_song)
Joe Dowell,Wooden Heart,https://en.wikipedia.org/wiki/Wooden_Heart
Lawrence Welk,Calcutta,https://en.wikipedia.org/wiki/Calcutta_(song)
The Shirelles,Dedicated To The One I Love,https://en.wikipedia.org/wiki/Dedicated_to_the_One_I_Love
The Shirelles,Will You Love Me Tomorrow,https://en.wikipedia.org/wiki/Will_You_Love_Me_Tomorrow
The Shirelles,Mama Said,https://en.wikipedia.org/wiki/Mama_Said_(The_Shirelles_song)
The Shirelles,Soldier Boy,https://en.wikipedia.org/wiki/Soldier_Boy_(song)
The Shirelles,Baby It's You,https://en.wikipedia.org/wiki/Baby_It%27s_You
The Shirelles,Foolish Little Girl,https://en.wikipedia.org/wiki/Foolish_Little_Girl
The Mar-Keys,Last Night,https://en.wikipedia.org/wiki/Last_Night_(Mar-Keys_composition)
Sue Thompson,Sad Movies (Make Me Cry),https://en.wikipedia.org/wiki/Sad_Movies_(Make_Me_Cry)
Sue Thompson,Norman,https://en.wikipedia.org/wiki/Norman_(song)
Ernie K-Doe,Mother-In-Law,https://en.wikipedia.org/wiki/Mother-in-law_joke
The Dovells,Bristol Stomp,https://en.wikipedia.org/wiki/Bristol_Stomp
The Dovells,You Can't Sit Down,https://en.wikipedia.org/wiki/You_Can%27t_Sit_Down
The Miracles,Shop Around,https://en.wikipedia.org/wiki/Shop_Around
The Miracles,You've Really Got a Hold on Me,https://en.wikipedia.org/wiki/You%27ve_Really_Got_a_Hold_on_Me
The Miracles,Mickey's Monkey,https://en.wikipedia.org/wiki/The_Miracles_Doin%27_Mickey%27s_Monkey
The Miracles,The Tracks of My Tears,https://en.wikipedia.org/wiki/The_Tracks_of_My_Tears
The Miracles,Ooo Baby Baby,https://en.wikipedia.org/wiki/Ooo_Baby_Baby
Gene Mcdaniels,A Hundred Pounds Of Clay,https://en.wikipedia.org/wiki/A_Hundred_Pounds_of_Clay
Dick and Dee Dee,The Mountain's High,https://en.wikipedia.org/wiki/The_Mountain%27s_High
Dick and Dee Dee,Tell Me,https://en.wikipedia.org/wiki/Dick_and_Dee_Dee
Floyd Cramer,On The Rebound,https://en.wikipedia.org/wiki/On_the_Rebound
Floyd Cramer,San Antonio Rose,https://en.wikipedia.org/wiki/New_San_Antonio_Rose
Gary U.S. Bonds,Quarter To Three,https://en.wikipedia.org/wiki/Quarter_to_Three
Gary U.S. Bonds,School Is Out,
Gary U.S. Bonds,Dear Lady Twist,
Gary U.S. Bonds,"Twist, Twist Senora",
Barry Mann,"Who Put The Bomp (In The Bomp, Bomp, Bomp)","https://en.wikipedia.org/wiki/Who_Put_the_Bomp_(in_the_Bomp,_Bomp,_Bomp)"
Chris Kenner,I Like It Like That,https://en.wikipedia.org/wiki/I_Like_It_Like_That_(Chris_Kenner_song)
Jorgen Ingmann,Apache,
Linda Scott,Don't Bet Money Honey,https://en.wikipedia.org/wiki/Don%27t_Bet_Money_Honey
Linda Scott,I've Told Every Little Star,https://en.wikipedia.org/wiki/I%27ve_Told_Ev%27ry_Little_Star
Ferlin Husky,Wings Of A Dove,https://en.wikipedia.org/wiki/Wings_of_a_Dove_(Bob_Ferguson_song)
Marcels,Blue Moon,https://en.wikipedia.org/wiki/Blue_moon
Shep and The Limelites,Daddy's Home,https://en.wikipedia.org/wiki/Daddy%27s_Home_(song)
Troy Shondell,This Time,
"Clarence ""Frogman"" Henry",(I Don't Know Why) But I Do,https://en.wikipedia.org/wiki/(I_Don%27t_Know_Why)_But_I_Do
Kokomo,Asia Minor,https://en.wikipedia.org/wiki/Asia_Minor_(instrumental)
Faron Young,Hello Walls,https://en.wikipedia.org/wiki/Hello_Walls
Dion,Runaround Sue,https://en.wikipedia.org/wiki/Runaround_Sue
Dion,The Wanderer,https://en.wikipedia.org/wiki/The_Wanderer_(Dion_song)
Dion,Lovers Who Wander,https://en.wikipedia.org/wiki/Lovers_Who_Wander
Dion,Little Diane,https://en.wikipedia.org/wiki/Little_Diane
Dion,Ruby Baby,https://en.wikipedia.org/wiki/Ruby_Baby
Dion,Donna the Prima Donna,https://en.wikipedia.org/wiki/Donna_the_Prima_Donna
Arthur Lyman,Yellow Bird,
Timi Yuro,Hurt,
The Capris,There's A Moon Out Tonight,https://en.wikipedia.org/wiki/The_Capris
The Paris Sisters,I Love How You Love Me,https://en.wikipedia.org/wiki/I_Love_How_You_Love_Me
Lee Dorsey,Ya Ya,https://en.wikipedia.org/wiki/Ya_Ya
Lee Dorsey,Working In The Coal Mine,https://en.wikipedia.org/wiki/Working_in_the_Coal_Mine
Bob Moore,Mexico,https://en.wikipedia.org/wiki/Mexico_(instrumental)
Ral Donner,You Don't Know What You've Got (Until You Lose It),https://en.wikipedia.org/wiki/You_Don%27t_Know_What_You%27ve_Got
The Lettermen,The Way You Look Tonight,https://en.wikipedia.org/wiki/The_Way_You_Look_Tonight
The Lettermen,Goin' Out Of My Head / Can't Take My Eyes Off You,https://en.wikipedia.org/wiki/Can%27t_Take_My_Eyes_Off_You
The Lettermen,Hurt So Bad,https://en.wikipedia.org/wiki/Hurt_So_Bad
Pat Boone,Moody River,https://en.wikipedia.org/wiki/Moody_River
Pat Boone,Speedy Gonzales,https://en.wikipedia.org/wiki/Speedy_Gonzales
Adam Wade,Take Good Care Of Her,https://en.wikipedia.org/wiki/Take_Good_Care_of_Her
Adam Wade,The Writing On The Wall,https://en.wikipedia.org/wiki/The_Writing_on_the_Wall_(Adam_Wade_song)
Carla Thomas,Gee Whiz (Look At His Eyes),
Carla Thomas,B-A-B-Y,https://en.wikipedia.org/wiki/B-A-B-Y
Ben E. King,Stand By Me,https://en.wikipedia.org/wiki/Stand_by_Me_(song)
Ben E. King,Spanish Harlem,https://en.wikipedia.org/wiki/Spanish_Harlem_(song)
